a,z,k_h_Mpc,delta_A,theta_A,delta_B_or_substitute,theta_B,Phi,Q,deltaQ,curvature_proxy,conservation_residual
0.00010000000000000009,9998.99999999999,0.0001,1e-05,0.0,0.0,nan,-1.0731621444630713e-06,0.0,0.0,-2.2601711888702625e-06,0.0
0.00010077112648825889,9922.477436927458,0.0001,1.0000000000231364e-05,-6.034398034074651e-14,0.0,nan,-1.0793187174638164e-06,0.0,0.0,-2.254014615946638e-06,0.0
0.00010154819933712645,9846.540444120863,0.0001,1.0000000000928733e-05,-1.213313693144484e-13,0.0,nan,-1.0854984082923786e-06,0.0,0.0,-2.2478349253505326e-06,0.0
0.00010233126440056487,9771.184540646407,0.0001,1.0000000002097107e-05,-1.8297695450881087e-13,0.0,nan,-1.0917011640456496e-06,0.0,0.0,-2.2416321699867192e-06,0.0
0.0001031203678861276,9696.405279859619,0.0001,1.00000000037416e-05,-2.4529575535076723e-13,0.0,nan,-1.0979269300586538e-06,0.0,0.0,-2.235406404521879e-06,0.0
0.00010391555635768725,9622.198249142839,0.0001,1.0000000005867439e-05,-3.0830299765173524e-13,0.0,nan,-1.1041756498971343e-06,0.0,0.0,-2.2291576853920123e-06,0.0
0.00010471687673818289,9548.559069644887,0.0001,1.0000000008479975e-05,-3.720141163774183e-13,0.0,nan,-1.1104472653503572e-06,0.0,0.0,-2.2228860708096343e-06,0.0
0.00010552437631238814,9475.483396022726,0.0001,1.0000000011584672e-05,-4.3644475843858513e-13,0.0,nan,-1.1167417164241218e-06,0.0,0.0,-2.2165916207707692e-06,0.0
0.00010633810272970286,9402.966916184929,0.0001,1.000000001518712e-05,-5.016107855029055e-13,0.0,nan,-1.1230589413340295e-06,0.0,0.0,-2.210274397061677e-06,0.0
0.00010715810400696326,9331.00535103737,0.0001,1.000000001929303e-05,-5.675282768273894e-13,0.0,nan,-1.1293988764989493e-06,0.0,0.0,-2.203934463265394e-06,0.0
0.00010798442853127686,9259.594454230572,0.0001,1.0000000023908234e-05,-6.342135321118052e-13,0.0,nan,-1.1357614565347528e-06,0.0,0.0,-2.197571884767992e-06,0.0
0.00010881712506287623,9188.730011909287,0.0001,1.0000000029038696e-05,-7.016830743725048e-13,0.0,nan,-1.1421466142482558e-06,0.0,0.0,-2.1911867287646425e-06,0.0
0.00010965624273799758,9118.407842463715,0.0001,1.0000000034690503e-05,-7.69953652837025e-13,0.0,nan,-1.1485542806314312e-06,0.0,0.0,-2.1847790642654035e-06,0.0
0.00011050183107177965,9048.623796282807,0.0001,1.0000000040869874e-05,-8.390422458589831e-13,0.0,nan,-1.1549843848558498e-06,0.0,0.0,-2.178348962100775e-06,0.0
0.00011135393996118493,8979.373755509449,0.0001,1.0000000047583159e-05,-9.089660638533071e-13,0.0,nan,-1.1614368542673753e-06,0.0,0.0,-2.171896494927011e-06,0.0
0.00011221261968794542,8910.65363379736,0.0001,1.000000005483684e-05,-9.797425522518495e-13,0.0,nan,-1.1679116143811253e-06,0.0,0.0,-2.1654217372311545e-06,0.0
0.00011307792092152807,8842.459376070094,0.0001,1.0000000062637535e-05,-1.0513893944788585e-12,0.0,nan,-1.1744085888766678e-06,0.0,0.0,-2.158924765335844e-06,0.0
0.00011394989472212632,8774.786958281622,0.0001,1.0000000070991999e-05,-1.1239245149466869e-12,0.0,nan,-1.1809276995935056e-06,0.0,0.0,-2.152405657403827e-06,0.0
0.00011482859254367144,8707.632387179015,0.0001,1.0000000079907124e-05,-1.1973660820710758e-12,0.0,nan,-1.1874688665267975e-06,0.0,0.0,-2.1458644934422434e-06,0.0
0.00011571406623687046,8640.991700066676,0.0001,1.0000000089389944e-05,-1.2717325113064177e-12,0.0,nan,-1.1940320078233763e-06,0.0,0.0,-2.139301355306605e-06,0.0
0.0001166063680522641,8574.860964572625,0.0001,1.0000000099447637e-05,-1.3470424682003053e-12,0.0,nan,-1.2006170397780106e-06,0.0,0.0,-2.132716326704535e-06,0.0
0.00011750555064331143,8509.236278416362,0.0001,1.0000000110087521e-05,-1.4233148714677432e-12,0.0,nan,-1.20722387682997e-06,0.0,0.0,-2.126109493199204e-06,0.0
0.00011841166706949636,8444.113769178633,0.0001,1.0000000121317064e-05,-1.5005688960844557e-12,0.0,nan,-1.213852431559847e-06,0.0,0.0,-2.1194809422125073e-06,0.0
0.00011932477079945786,8379.48959407298,0.0001,1.000000013314388e-05,-1.5788239763992721e-12,0.0,nan,-1.220502614686666e-06,0.0,0.0,-2.1128307630279608e-06,0.0
0.00012024491571414658,8315.359939718865,0.0001,1.0000000145575735e-05,-1.6580998092656294e-12,0.0,nan,-1.2271743350652923e-06,0.0,0.0,-2.106159046793286e-06,0.0
0.00012117215611000261,8251.721021916777,0.0001,1.0000000158620546e-05,-1.738416357191558e-12,0.0,nan,-1.2338674996841033e-06,0.0,0.0,-2.0994658865227452e-06,0.0
0.00012210654670216113,8188.569085424813,0.0001,1.0000000172286385e-05,-1.81979385150853e-12,0.0,nan,-1.2405820136629828e-06,0.0,0.0,-2.092751377099146e-06,0.0
0.0001230481426276794,8125.900403737198,0.0001,1.0000000186581481e-05,-1.902252795558403e-12,0.0,nan,-1.2473177802515783e-06,0.0,0.0,-2.0860156152755818e-06,0.0
0.00012399699944879165,8063.711278864296,0.0001,1.0000000201514221e-05,-1.9858139678988506e-12,0.0,nan,-1.2540747008278814e-06,0.0,0.0,-2.079258699676859e-06,0.0
0.0001249531731561874,8001.99804111443,0.0001,1.0000000217093153e-05,-2.0704984255266075e-12,0.0,nan,-1.2608526748971001e-06,0.0,0.0,-2.0724807308006175e-06,0.0
0.00012591672017231442,7940.757048877391,0.0001,1.0000000233326986e-05,-2.1563275071185093e-12,0.0,nan,-1.2676516000908239e-06,0.0,0.0,-2.0656818110181716e-06,0.0
0.00012688769735470985,7879.984688409446,0.0001,1.0000000250224597e-05,-2.243322836290336e-12,0.0,nan,-1.2744713721665211e-06,0.0,0.0,-2.0588620445750115e-06,0.0
0.00012786616199935346,7819.67737362021,0.0001,1.0000000267795029e-05,-2.33150632487273e-12,0.0,nan,-1.2813118850073162e-06,0.0,0.0,-2.052021537591027e-06,0.0
0.00012885217184405037,7759.831545860932,0.0001,1.0000000286047491e-05,-2.4209001762046008e-12,0.0,nan,-1.2881730306221057e-06,0.0,0.0,-2.045160398060391e-06,0.0
0.00012984578507183636,7700.443673714602,0.0001,1.000000030499137e-05,-2.511526888443155e-12,0.0,nan,-1.2950546991459698e-06,0.0,0.0,-2.0382787358511534e-06,0.0
0.00013084706031441263,7641.510252787478,0.0001,1.0000000324636222e-05,-2.603409257890925e-12,0.0,nan,-1.3019567788409135e-06,0.0,0.0,-2.0313766627044934e-06,0.0
0.00013185605665560506,7583.0278055023355,0.0001,1.0000000344991782e-05,-2.696570382339087e-12,0.0,nan,-1.3088791560969241e-06,0.0,0.0,-2.0244542922336698e-06,0.0
0.0001328728336348497,7524.99288089331,0.0001,1.0000000366067964e-05,-2.7910336644269905e-12,0.0,nan,-1.31582171543334e-06,0.0,0.0,-2.0175117399226477e-06,0.0
0.0001338974512507081,7467.40205440215,0.0001,1.000000038787486e-05,-2.886822815017896e-12,0.0,nan,-1.322784339500573e-06,0.0,0.0,-2.01054912312438e-06,0.0
0.00013492996996440545,7410.251927676262,0.0001,1.0000000410422746e-05,-2.9839618565901314e-12,0.0,nan,-1.32976690908212e-06,0.0,0.0,-2.0035665610587954e-06,0.0
0.00013597045070340064,7353.5391283680565,0.0001,1.0000000433722088e-05,-3.0824751266440752e-12,0.0,nan,-1.336769303096944e-06,0.0,0.0,-1.9965641748104186e-06,0.0
0.00013701895486497917,7297.260309936076,0.0001,1.0000000457783535e-05,-3.1823872811239894e-12,0.0,nan,-1.3437913986021418e-06,0.0,0.0,-1.989542087325703e-06,0.0
0.00013807554431987816,7241.412151447403,0.0001,1.0000000482617927e-05,-3.283723297855148e-12,0.0,nan,-1.350833070795996e-06,0.0,0.0,-1.9825004234099796e-06,0.0
0.00013914028141593626,7185.991357381761,0.0001,1.0000000508236302e-05,-3.3865084799954296e-12,0.0,nan,-1.3578941930213158e-06,0.0,0.0,-1.9754393097241182e-06,0.0
0.0001402132289817721,7130.994657437075,0.0001,1.0000000534649887e-05,-3.490768459501276e-12,0.0,nan,-1.3649746367691408e-06,0.0,0.0,-1.9683588747808214e-06,0.0
0.00014129445033049352,7076.418806336405,0.0001,1.0000000561870113e-05,-3.5965292006080365e-12,0.0,nan,-1.3720742716827874e-06,0.0,0.0,-1.9612592489405832e-06,0.0
0.00014238400926343137,7022.260583636557,0.0001,1.0000000589908607e-05,-3.703817003323771e-12,0.0,nan,-1.3791929655622093e-06,0.0,0.0,-1.9541405644073265e-06,0.0
0.00014348197007390656,6968.51679353794,0.0001,1.0000000618777203e-05,-3.812658506936986e-12,0.0,nan,-1.3863305843687356e-06,0.0,0.0,-1.9470029552236654e-06,0.0
0.00014458839755102174,6915.184264696095,0.0001,1.0000000648487939e-05,-3.923080693537215e-12,0.0,nan,-1.3934869922301197e-06,0.0,0.0,-1.9398465572658598e-06,0.0
0.00014570335698348635,6862.259850034461,0.0001,1.0000000679053062e-05,-4.035110891548913e-12,0.0,nan,-1.400662051445959e-06,0.0,0.0,-1.9326715082383954e-06,0.0
0.0001468269141634683,6809.740426558716,0.0001,1.000000071048503e-05,-4.148776779277763e-12,0.0,nan,-1.4078556224934474e-06,0.0,0.0,-1.925477947668229e-06,0.0
0.00014795913539047555,6757.622895172529,0.0001,1.0000000742796515e-05,-4.264106388469266e-12,0.0,nan,-1.4150675640334706e-06,0.0,0.0,-1.9182660168987006e-06,0.0
0.0001491000874752702,6705.904180494598,0.0001,1.0000000776000406e-05,-4.381128107879649e-12,0.0,nan,-1.4222977329170728e-06,0.0,0.0,-1.9110358590830623e-06,0.0
0.0001502498377438088,6654.581230677277,0.0001,1.0000000810109813e-05,-4.499870686858061e-12,0.0,nan,-1.4295459841922426e-06,0.0,0.0,-1.9037876191776952e-06,0.0
0.00015140845404121715,6603.65101722639,0.0001,1.0000000845138066e-05,-4.6203632389405675e-12,0.0,nan,-1.436812171111076e-06,0.0,0.0,-1.8965214439349458e-06,0.0
0.00015257600473579186,6553.110534822624,0.0001,1.000000088109872e-05,-4.742635245454762e-12,0.0,nan,-1.444096145137273e-06,0.0,0.0,-1.8892374818956333e-06,0.0
0.00015375255872303653,6502.956801144093,0.0001,1.0000000918005558e-05,-4.866716559135548e-12,0.0,nan,-1.4513977559539973e-06,0.0,0.0,-1.8819358833811885e-06,0.0
0.00015493818542972526,6453.186856690447,0.0001,1.0000000955872596e-05,-4.992637407750869e-12,0.0,nan,-1.4587168514720793e-06,0.0,0.0,-1.8746168004854526e-06,0.0
0.00015613295481800113,6403.797764608157,0.0001,1.0000000994714081e-05,-5.120428397737901e-12,0.0,nan,-1.4660532778385815e-06,0.0,0.0,-1.867280387066112e-06,0.0
0.00015733693738950388,6354.7866105172525,0.0001,1.00000010345445e-05,-5.250120517848703e-12,0.0,nan,-1.473406879445711e-06,0.0,0.0,-1.8599267987357885e-06,0.0
0.00015855020418952922,6306.1505023393765,0.0001,1.0000001075378573e-05,-5.381745142805196e-12,0.0,nan,-1.4807774989400806e-06,0.0,0.0,-1.8525561928527773e-06,0.0
0.00015977282681122308,6257.886570127055,0.0001,1.0000001117231271e-05,-5.515334036963513e-12,0.0,nan,-1.4881649772323419e-06,0.0,0.0,-1.845168728511415e-06,0.0
0.000161004877399804,6209.991965894427,0.0001,1.0000001160117803e-05,-5.650919357986553e-12,0.0,nan,-1.4955691535071493e-06,0.0,0.0,-1.8377645665321182e-06,0.0
0.0001622464286568225,6162.463863449112,0.0001,1.000000120405363e-05,-5.788533660525357e-12,0.0,nan,-1.5029898652334957e-06,0.0,0.0,-1.8303438694510477e-06,0.0
0.00016349755384444887,6115.299458225518,0.0001,1.0000001249054466e-05,-5.928209899907978e-12,0.0,nan,-1.5104269481753861e-06,0.0,0.0,-1.822906801509436e-06,0.0
0.0001647583267897983,6068.495967119273,0.0001,1.0000001295136278e-05,-6.069981435836427e-12,0.0,nan,-1.5178802364028821e-06,0.0,0.0,-1.8154535286425437e-06,0.0
0.00016602882188928642,6022.050628323036,0.0001,1.000000134231529e-05,-6.213882036090587e-12,0.0,nan,-1.5253495623034847e-06,0.0,0.0,-1.8079842184682784e-06,0.0
0.00016730911411301844,5975.960701163555,0.0001,1.0000001390607987e-05,-6.359945880239019e-12,0.0,nan,-1.5328347565938659e-06,0.0,0.0,-1.8004990402754632e-06,0.0
