a,z,k_h_Mpc,delta_A,theta_A,delta_B_or_substitute,theta_B,Phi,Q,deltaQ,curvature_proxy,conservation_residual
0.00010000000000000009,9998.99999999999,0.0001,1e-05,0.0,1.000000000000001e-08,0.0,-1.085247332403761e-06,0.0,0.0,-2.2480860009295727e-06,0.0
0.00010077112648825889,9922.477436927458,0.0001,1.0000000000233247e-05,-6.083438301889454e-14,9.549779157588185e-09,4.910585898731543e-13,-1.091453965998488e-06,0.0,0.0,-2.241879367412594e-06,0.0
0.00010154819933712645,9846.540444120863,0.0001,1.0000000000936275e-05,-1.22314674650928e-13,9.119828192145164e-09,9.702662232314655e-13,-1.0976836850055975e-06,0.0,0.0,-2.2356496486398274e-06,0.0
0.00010233126440056487,9771.184540646407,0.0001,1.0000000002114104e-05,-1.8445570357290184e-13,8.709234511653657e-09,1.4379899522268845e-12,-1.1039364336303033e-06,0.0,0.0,-2.2293969004077316e-06,0.0
0.0001031203678861276,9696.405279859619,0.0001,1.0000000003771866e-05,-2.4727253015647007e-13,8.31712661088856e-09,1.8945843550865027e-12,-1.1102121543004564e-06,0.0,0.0,-2.2231211802901657e-06,0.0
0.00010391555635768725,9622.198249142839,0.0001,1.0000000005914812e-05,-3.1078042059149595e-13,7.942672221603372e-09,2.3403916682063677e-12,-1.1165107876594652e-06,0.0,0.0,-2.216822547645472e-06,0.0
0.00010471687673818289,9548.559069644887,0.0001,1.000000000854831e-05,-3.749948496309376e-13,7.58507654600003e-09,2.7757421366020584e-12,-1.1228322725594331e-06,0.0,0.0,-2.210501063623337e-06,0.0
0.00010552437631238814,9475.483396022726,0.0001,1.0000000011677846e-05,-4.3993150335611876e-13,7.243580569731548e-09,3.20095435287076e-12,-1.1291765460545165e-06,0.0,0.0,-2.2041567911714323e-06,0.0
0.00010633810272970286,9402.966916184929,0.0001,1.000000001530903e-05,-5.056062819624547e-13,6.917459450856007e-09,3.6163355850092915e-12,-1.1355435433945419e-06,0.0,0.0,-2.197789795041802e-06,0.0
0.00010715810400696326,9331.00535103737,0.0001,1.0000000019447594e-05,-5.720353025651734e-13,6.606020981324359e-09,4.022182093418479e-12,-1.1419331980188308e-06,0.0,0.0,-2.191400141797034e-06,0.0
0.00010798442853127686,9259.594454230572,0.0001,1.0000000024099394e-05,-6.392349020254031e-13,6.308604117734052e-09,4.4187794374194755e-12,-1.148345441550296e-06,0.0,0.0,-2.1849878998161684e-06,0.0
0.00010881712506287623,9188.730011909287,0.0001,1.0000000029270412e-05,-7.072216397960432e-13,6.024577578232336e-09,4.806402771591525e-12,-1.1547802037897568e-06,0.0,0.0,-2.1785531393003805e-06,0.0
0.00010965624273799758,9118.407842463715,0.0001,1.000000003496676e-05,-7.760123007877854e-13,5.753338502588873e-09,5.185317132236945e-12,-1.1612374127105264e-06,0.0,0.0,-2.1720959322783935e-06,0.0
0.00011050183107177965,9048.623796282807,0.0001,1.0000000041194677e-05,-8.456238982547994e-13,5.494311172595343e-09,5.555777714264539e-12,-1.167716994453236e-06,0.0,0.0,-2.165616352611656e-06,0.0
0.00011135393996118493,8979.373755509449,0.0001,1.0000000047960538e-05,-9.160736767001076e-13,5.2469457900752875e-09,5.918030138776719e-12,-1.174218873320919e-06,0.0,0.0,-2.1591144759992603e-06,0.0
0.00011221261968794542,8910.65363379736,0.0001,1.0000000055270847e-05,-9.873791148006993e-13,5.010717309909926e-09,6.272310711636713e-12,-1.1807429717743695e-06,0.0,0.0,-2.1525903799825797e-06,0.0
0.00011307792092152807,8842.459376070094,0.0001,1.0000000063132245e-05,-1.0595579283518493e-12,4.785124325604426e-09,6.6188466732807515e-12,-1.1872892104277377e-06,0.0,0.0,-2.1460441439496773e-06,0.0
0.00011394989472212632,8774.786958281622,0.0001,1.000000007155151e-05,-1.1326280732310184e-12,4.56968800502743e-09,6.9578564400365025e-12,-1.1938575080444262e-06,0.0,0.0,-2.1394758491394106e-06,0.0
0.00011482859254367144,8707.632387179015,0.0001,1.0000000080535558e-05,-1.2066077483806673e-12,4.363951074066639e-09,7.289549837195764e-12,-1.2004477815332212e-06,0.0,0.0,-2.132885578645298e-06,0.0
0.00011571406623687046,8640.991700066676,0.0001,1.0000000090091447e-05,-1.281515398810369e-12,4.167476846041541e-09,7.614128324086786e-12,-1.2070599459447366e-06,0.0,0.0,-2.1262734174190788e-06,0.0
0.0001166063680522641,8574.860964572625,0.0001,1.0000000100226377e-05,-1.3573697186175392e-12,3.979848294814759e-09,7.93178521137902e-12,-1.2136939144680959e-06,0.0,0.0,-2.11963945227403e-06,0.0
0.00011750555064331143,8509.236278416362,0.0001,1.0000000110947693e-05,-1.4341896540271512e-12,3.800667169633171e-09,8.242705870850613e-12,-1.2203495984279318e-06,0.0,0.0,-2.112983771887966e-06,0.0
0.00011841166706949636,8444.113769178633,0.0001,1.0000000122262886e-05,-1.5119944064498538e-12,3.6295531498211812e-09,8.547067937837532e-12,-1.2270269072816484e-06,0.0,0.0,-2.1063064668059802e-06,0.0
0.00011932477079945786,8379.48959407298,0.0001,1.0000000134179595e-05,-1.5908034355584799e-12,3.4661430375314293e-09,8.845041506579047e-12,-1.2337257486169718e-06,0.0,0.0,-2.099607629442893e-06,0.0
0.00012024491571414658,8315.359939718865,0.0001,1.000000014670561e-05,-1.6706364623829731e-12,3.3100899868391665e-09,9.136789318667489e-12,-1.2404460281498091e-06,0.0,0.0,-2.092887354085394e-06,0.0
0.00012117215611000261,8251.721021916777,0.0001,1.0000000159848874e-05,-1.751513472423087e-12,3.161062767544973e-09,9.422466944801274e-12,-1.2471876497223743e-06,0.0,0.0,-2.0861457368939168e-06,0.0
