a,z,k_h_Mpc,delta_A,theta_A,delta_B_or_substitute,theta_B,Phi,Q,deltaQ,curvature_proxy,conservation_residual
0.00010000000000000009,9998.99999999999,0.0001,1e-05,0.0,1.000000000000001e-08,0.0,-1.0791924779993277e-06,0.0,0.0,-2.254140855334006e-06,0.0
0.00010077112648825889,9922.477436927458,0.0001,1.0000000000232901e-05,-6.082143894640606e-14,9.54977915757916e-09,4.940770265766356e-13,-1.085374084073894e-06,0.0,0.0,-2.2479592493370727e-06,0.0
0.00010154819933712645,9846.540444120863,0.0001,1.0000000000937272e-05,-1.2275497708618005e-13,9.119828192090411e-09,9.80121325134635e-13,-1.0915787924444759e-06,0.0,0.0,-2.2417545412012813e-06,0.0
0.00010233126440056487,9771.184540646407,0.0001,1.0000000002121729e-05,-1.8581995835187572e-13,8.709234511489485e-09,1.4584949900406528e-12,-1.0978065487669942e-06,0.0,0.0,-2.235526785273582e-06,0.0
0.0001031203678861276,9696.405279859619,0.0001,1.0000000003795039e-05,-2.500360605169898e-13,8.317126610525524e-09,1.9295502540631925e-12,-1.1040572969277042e-06,0.0,0.0,-2.229276037670642e-06,0.0
0.00010391555635768725,9622.198249142839,0.0001,1.0000000005966123e-05,-3.1542327089110794e-13,7.942672220927446e-09,2.39362958194413e-12,-1.11033097903595e-06,0.0,0.0,-2.2230023562860907e-06,0.0
0.00010471687673818289,9548.559069644887,0.0001,1.0000000008644053e-05,-3.8200189039923126e-13,7.585076544873702e-09,2.8510659835417344e-12,-1.116627535417131e-06,0.0,0.0,-2.2167058007975537e-06,0.0
0.00010552437631238814,9475.483396022726,0.0001,1.0000000011838062e-05,-4.497925376979965e-13,7.2435805679948466e-09,3.302183317251534e-12,-1.122946904605887e-06,0.0,0.0,-2.210386432673467e-06,0.0
0.00010633810272970286,9402.966916184929,0.0001,1.000000001555754e-05,-5.188161533289494e-13,6.9174594483274615e-09,3.747296584001703e-12,-1.1292890233395397e-06,0.0,0.0,-2.20404431517964e-06,0.0
0.00010715810400696326,9331.00535103737,0.0001,1.0000000019812039e-05,-5.890940039084786e-13,6.606020977801902e-09,4.186712212106907e-12,-1.1356538265517357e-06,0.0,0.0,-2.1976795133856107e-06,0.0
0.00010798442853127686,9259.594454230572,0.0001,1.0000000024611277e-05,-6.606476863548873e-13,6.3086041129958586e-09,4.620728333261555e-12,-1.1420412473663609e-06,0.0,0.0,-2.1912920941707314e-06,0.0
0.00010881712506287623,9188.730011909287,0.0001,1.0000000029965136e-05,-7.334991321520685e-13,6.024577572037616e-09,5.049635049938267e-12,-1.1484512170916698e-06,0.0,0.0,-2.1848821262300425e-06,0.0
0.00010965624273799758,9118.407842463715,0.0001,1.0000000035883674e-05,-8.076706116502594e-13,5.753338494678598e-09,5.473714694455511e-12,-1.154883665214682e-06,0.0,0.0,-2.178449680079876e-06,0.0
0.00011050183107177965,9048.623796282807,0.0001,1.0000000042377117e-05,-8.831847384034389e-13,5.4943111626929295e-09,5.893242079964667e-12,-1.1613385193958158e-06,0.0,0.0,-2.171994828063223e-06,0.0
0.00011135393996118493,8979.373755509449,0.0001,1.0000000049455864e-05,-9.600644735434793e-13,5.2469457778872345e-09,6.30848474360243e-12,-1.1678157054637734e-06,0.0,0.0,-2.1655176443548483e-06,0.0
0.00011221261968794542,8910.65363379736,0.0001,1.0000000057130498e-05,-1.0383331301911897e-12,5.0107172951264e-09,6.7197031820468804e-12,-1.1743151474107027e-06,0.0,0.0,-2.1590182049661296e-06,0.0
0.00011307792092152807,8842.459376070094,0.0001,1.0000000065411776e-05,-1.1180143779037522e-12,4.785124307899809e-09,7.127151079704795e-12,-1.1808367673875915e-06,0.0,0.0,-2.152496587749667e-06,0.0
0.00011394989472212632,8774.786958281622,0.0001,1.0000000074310643e-05,-1.1991322471590438e-12,4.569687984060822e-09,7.531075529756064e-12,-1.1873804856999549e-06,0.0,0.0,-2.145952872403593e-06,0.0
0.00011482859254367144,8707.632387179015,0.0001,1.000000008383823e-05,-1.2817111338761834e-12,4.363951049482322e-09,7.93171724826808e-12,-1.1939462208037626e-06,0.0,0.0,-2.139387140475647e-06,0.0
0.00011571406623687046,8640.991700066676,0.0001,1.000000009400585e-05,-1.365775803972828e-12,4.167476817469404e-09,8.329310781592433e-12,-1.2005338893016672e-06,0.0,0.0,-2.1327994753669495e-06,0.0
0.0001166063680522641,8574.860964572625,0.0001,1.0000000104825017e-05,-1.4513513979585292e-12,3.979848261870694e-09,8.724084707243688e-12,-1.2071434059394763e-06,0.0,0.0,-2.126189962335529e-06,0.0
0.00011750555064331143,8509.236278416362,0.0001,1.0000000116307433e-05,-1.5384634355646448e-12,3.800667131919426e-09,9.116261828459566e-12,-1.2137746836029332e-06,0.0,0.0,-2.1195586884995445e-06,0.0
0.00011841166706949636,8444.113769178633,0.0001,1.0000000128465e-05,-1.627137820410227e-12,3.6295531069266883e-09,9.506059362630587e-12,-1.2204276333147585e-06,0.0,0.0,-2.112905742840242e-06,0.0
0.00011932477079945786,8379.48959407298,0.0001,1.0000000141309821e-05,-1.7174008447039531e-12,3.466142989032097e-09,9.893689123784486e-12,-1.2271021642319776e-06,0.0,0.0,-2.1062312162046296e-06,0.0
0.00012024491571414658,8315.359939718865,0.0001,1.0000000154854202e-05,-1.8092791939822193e-12,3.3100899322981455e-09,1.027935769930512e-11,-1.2337981836435547e-06,0.0,0.0,-2.0995352013078457e-06,0.0
0.00012117215611000261,8251.721021916777,0.0001,1.0000000169110652e-05,-1.902799951882737e-12,3.1610627065128933e-09,1.0663266621056642e-11,-1.2405155969682913e-06,0.0,0.0,-2.0928177927352596e-06,0.0
0.00012210654670216113,8188.569085424813,0.0001,1.0000000184091897e-05,-1.997990604954154e-12,3.01874499413721e-09,1.1045612531083493e-11,-1.2472543077530475e-06,0.0,0.0,-2.086079086944251e-06,0.0
0.0001230481426276794,8125.900403737198,0.0001,1.0000000199810868e-05,-2.0948790475008756e-12,2.8828347189054738e-09,1.1426587342045803e-11,-1.2540142176712338e-06,0.0,0.0,-2.0793191822657223e-06,0.0
0.00012399699944879165,8063.711278864296,0.0001,1.0000000216280718e-05,-2.1934935864636128e-12,2.7530434046535648e-09,1.1806378392550401e-11,-1.2607952265216271e-06,0.0,0.0,-2.0725381789052786e-06,0.0
0.0001249531731561874,8001.99804111443,0.0001,1.0000000233514814e-05,-2.2938629463349656e-12,2.629095563014086e-09,1.2185168597527783e-11,-1.267597232227476e-06,0.0,0.0,-2.0657361789441285e-06,0.0
0.00012591672017231442,7940.757048877391,0.0001,1.000000025152675e-05,-2.3960162741100704e-12,2.5107281086788016e-09,1.2563136593803491e-11,-1.274420130835912e-06,0.0,0.0,-2.0589132863396712e-06,0.0
0.00012688769735470985,7879.984688409446,0.0001,1.0000000270330342e-05,-2.499983144272403e-12,2.3976898009869003e-09,1.2940456881008025e-11,-1.2812638165176836e-06,0.0,0.0,-2.0520696069257637e-06,0.0
0.00012786616199935346,7819.67737362021,0.0001,1.0000000289939636e-05,-2.6057935638139505e-12,2.2897407106545307e-09,1.3317299957961563e-11,-1.2881281815671835e-06,0.0,0.0,-2.045205248412695e-06,0.0
0.00012885217184405037,7759.831545860932,0.0001,1.000000031036891e-05,-2.7134779772903164e-12,2.1866517105128603e-09,1.3693832454670542e-11,-1.2950131164028101e-06,0.0,0.0,-2.038320320386827e-06,0.0
0.00012984578507183636,7700.443673714602,0.0001,1.000000033163268e-05,-2.8230672719097983e-12,2.08820398917457e-09,1.4070217260063357e-11,-1.3019185095676276e-06,0.0,0.0,-2.0314149343099322e-06,0.0
0.00013084706031441263,7641.510252787478,0.0001,1.0000000353745696e-05,-2.934592782656969e-12,1.9941885865957343e-09,1.4446613645593674e-11,-1.308844247730362e-06,0.0,0.0,-2.0244892035182035e-06,0.0
0.00013185605665560506,7583.0278055023355,0.0001,1.0000000376722954e-05,-3.0480862974499598e-12,1.9044059505479087e-09,1.482317738483128e-11,-1.3157902156867128e-06,0.0,0.0,-2.0175432432209384e-06,0.0
0.0001328728336348497,7524.99288089331,0.0001,1.0000000400579695e-05,-3.1635800623314536e-12,1.8186655130587563e-09,1.5200060869159375e-11,-1.3227562963609774e-06,0.0,0.0,-2.010577170498921e-06,0.0
0.0001338974512507081,7467.40205440215,0.0001,1.000000042533141e-05,-3.281106786693451e-12,1.7367852859219972e-09,1.557741321969362e-11,-1.3297423708080331e-06,0.0,0.0,-2.003591104302437e-06,0.0
0.00013492996996440545,7410.251927676262,0.0001,1.0000000450993844e-05,-3.4006996485348947e-12,1.6585914744186403e-09,1.5955380395531465e-11,-1.3367483182156107e-06,0.0,0.0,-1.9965851654490036e-06,0.0
0.00013597045070340064,7353.5391283680565,0.0001,1.0000000477582994e-05,-3.522392299752749e-12,1.5839181084289846e-09,1.6334105298441713e-11,-1.3437740159069362e-06,0.0,0.0,-1.989559476620728e-06,0.0
0.00013701895486497917,7297.260309936076,0.0001,1.0000000505115124e-05,-3.646218871465422e-12,1.5126066901530162e-09,1.671372787409539e-11,-1.3508193393436682e-06,0.0,0.0,-1.982514162361373e-06,0.0
0.00013807554431987816,7241.412151447403,0.0001,1.0000000533606758e-05,-3.7722139793691216e-12,1.4445058576909059e-09,1.7094385209941148e-11,-1.3578841621292105e-06,0.0,0.0,-1.975449349073042e-06,0.0
0.00013914028141593626,7185.991357381761,0.0001,1.0000000563074687e-05,-3.900412729126197e-12,1.3794710637699844e-09,1.7476211629820344e-11,-1.364968356012329e-06,0.0,0.0,-1.9683651650125664e-06,0.0
0.0001402132289817721,7130.994657437075,0.0001,1.0000000593535975e-05,-4.03085072178545e-12,1.3173642689360882e-09,1.7859338785416877e-11,-1.3720717908911192e-06,0.0,0.0,-1.961261740287539e-06,0.0
0.00014129445033049352,7076.418806336405,0.0001,1.0000000625007964e-05,-4.163564059234462e-12,1.2580536485579266e-09,1.8243895744633922e-11,-1.3791943348173307e-06,0.0,0.0,-1.9541392068519904e-06,0.0
0.00014238400926343137,7022.260583636557,0.0001,1.000000065750827e-05,-4.2985893496828956e-12,1.201413313022934e-09,1.8630009076983557e-11,-1.3863358540009974e-06,0.0,0.0,-1.9469976985017595e-06,0.0
0.00014348197007390656,6968.51679353794,0.0001,1.0000000691054797e-05,-4.435963713177421e-12,1.1473230405302704e-09,1.9017802936077577e-11,-1.393496212815454e-06,0.0,0.0,-1.9398373508694783e-06,0.0
0.00014458839755102174,6915.184264696095,0.0001,1.0000000725665734e-05,-4.575724787146974e-12,1.095668021914245e-09,1.940739913929924e-11,-1.400675273802661e-06,0.0,0.0,-1.9326583014192504e-06,0.0
0.00014570335698348635,6862.259850034461,0.0001,1.000000076135956e-05,-4.7179107319790085e-12,1.0463386169561325e-09,1.9798917244738775e-11,-1.4078728976789028e-06,0.0,0.0,-1.9254606894409506e-06,0.0
0.0001468269141634683,6809.740426558716,0.0001,1.000000079815505e-05,-4.86256023662568e-12,9.992301216674631e-10,2.0192474625467958e-11,-1.41508894334082e-06,0.0,0.0,-1.9182446560441972e-06,0.0
0.00014795913539047555,6757.622895172529,0.0001,1.0000000836071281e-05,-5.009712524239867e-12,9.542425460506958e-10,2.058818654122929e-11,-1.4223232678717853e-06,0.0,0.0,-1.911010344151975e-06,0.0
0.0001491000874752702,6705.904180494598,0.0001,1.0000000875127628e-05,-5.159407357841125e-12,9.11280401865464e-10,2.0986166207613442e-11,-1.4295757265486532e-06,0.0,0.0,-1.9037578984938897e-06,0.0
0.0001502498377438088,6654.581230677277,0.0001,1.0000000915343778e-05,-5.311685046010377e-12,8.702524999501826e-10,2.1386524862792757e-11,-1.4368461728488273e-06,0.0,0.0,-1.8964874655990987e-06,0.0
0.00015140845404121715,6603.65101722639,0.0001,1.0000000956739729e-05,-5.466586448614043e-12,8.310717566684983e-10,2.1789371831881388e-11,-1.4441344584577128e-06,0.0,0.0,-1.8891991937888636e-06,0.0
