a,z,Gamma,H_km_s_Mpc,H_over_H_LCDM,rho_A_over_rhocrit0,rho_Bfoam_over_rhocrit0,Omega_A,Omega_Bfoam,Omega_clustering,w_dark,w_Bfoam_eff,w_eff,D,f,f_sigma8_proxy,delta_w_dark_vs_LCDM,delta_f_sigma8_vs_LCDM
0.00010000000000000009,9998.99999999999,2.809066601845799e-18,74899629.04422787,1.0002924760590413,265622036594.46252,0.6813989618167946,0.2150921505351229,5.517748826440173e-13,0.25501369905321974,-2.565295299107167e-12,-1.0000003650088682,0.24832876698152437,0.0002410833046795193,1.0,0.00019551856009509017,2.360633807156771e-14,-3.0920920768046263e-07
0.00010077112648825889,9922.477436927458,2.8955902716174227e-18,73830198.4750554,1.0002941537139893,259570755980.13376,0.6813989675694323,0.21632538394333006,5.678755787471209e-13,0.25647582313344136,-2.625099137207099e-12,-1.0000003676801168,0.24784139228809574,0.00024293705272463323,0.9943278856642223,0.00019590441873398282,2.4156642063902637e-14,-3.091597300871349e-07
0.00010154819933712645,9846.540444120863,2.9847741784301568e-18,72776446.89290282,1.000295837665857,253657332892.77524,0.6813989733641649,0.2175632399365533,5.844395139060115e-13,0.2579434277600053,-2.686297161574162e-12,-1.000000370370315,0.24735219074588566,0.00024479448703377486,0.988759839945005,0.00019629683879115615,2.4719774414666512e-14,-3.091115286027186e-07
0.00010233126440056487,9771.184540646407,3.0766999690211537e-18,71738140.25273764,1.0002975279001995,247878626724.8082,0.681398979201291,0.21880570782720168,6.014797964908587e-13,0.25941650026168156,-2.748921874397419e-12,-1.0000003730795939,0.24686116657863755,0.0002466556682966095,0.9832924362809338,0.00019669560358452065,2.5296034165824417e-14,-3.0906452003930844e-07
0.0001031203678861276,9696.405279859619,3.1714517920324023e-18,70715048.04010966,1.0002992244020934,242231568416.5549,0.6813989850811113,0.22005277657474853,6.190098986786998e-13,0.2608950275487987,-2.8130065355784796e-12,-1.0000003758080844,0.2463683241495751,0.00024852065688376837,0.9779237107691529,0.00019710077105885795,2.5885727330157244e-14,-3.090187459754885e-07
0.00010391555635768725,9622.198249142839,3.269116374583166e-18,69706943.21760584,1.0003009271561327,236713158826.25748,0.6813989910039285,0.22130443478426212,6.370436663277029e-13,0.2623789961115019,-2.8785851803959057e-12,-1.0000003785559188,0.24587366796198332,0.0002503895137165094,0.9726517538983995,0.00019751239953571961,2.6489167053748565e-14,-3.089742485336516e-07
0.00010471687673818289,9548.559069644887,3.3697831011842083e-18,68713602.17212178,1.000302636146427,231320467137.24377,0.6813989969700475,0.22256067070497842,6.555953291127367e-13,0.26386839201806084,-2.945692637581275e-12,-1.0000003813232308,0.24537720265977225,0.0002522623002702978,0.9674747086468125,0.00019793054771528727,2.7106673782261267e-14,-3.089310703823574e-07
0.00010552437631238814,9475.483396022726,3.473544095065572e-18,67734804.66293496,1.0003043513566003,226050629301.37976,0.6813990029797751,0.2238214722289175,6.746795109290098e-13,0.26536320091322935,-3.0143645478166425e-12,-1.0000003841101544,0.24487893302802402,0.00025413907857839814,0.9623907686579798,0.00019835527467824632,2.7738575431087545e-14,-3.0888925473860924e-07
0.00010633810272970286,9402.966916184929,3.580494301992071e-18,66770333.770565,1.0003060727697888,220900846517.97055,0.6813990090334203,0.2250868268895498,6.943112405707287e-13,0.2668634080166641,-3.0846373826633835e-12,-1.0000003869168244,0.24437886399351955,0.0002560199112354902,0.9573981764914615,0.00019878663988767735,2.838520755946922e-14,-3.0884884537040196e-07
0.00010715810400696326,9331.00535103737,3.690731576641899e-18,65819975.84641495,1.000307800368639,215868383747.33246,0.6813990151312943,0.22635672186050407,7.14505962691731e-13,0.2683689981213925,-3.1565484639320817e-12,-1.0000003897433773,0.2438770006252498,0.0002579048614012987,0.9524952219442873,0.00019922470319096289,2.9046913548671144e-14,-3.088098865993783e-07
0.00010798442853127686,9259.594454230572,3.804356771627601e-18,64883520.46317447,1.0003095341353065,210950568258.2092,0.6813990212737103,0.2276311439543274,7.35279549055482e-13,0.269879955592343,-3.230135983504242e-12,-1.0000003925899499,0.24337334813490527,0.00025979399280424124,0.9476802404400798,0.0001996695248217111,2.972404478431273e-14,-3.087724233022111e-07
0.00010881712506287623,9188.730011909287,3.92147382923937e-18,63960760.365980595,1.0003112740514535,206144788208.29877,0.6813990274609839,0.2289100796212885,7.566483100817153e-13,0.2713962643649261,-3.3054390236158323e-12,-1.0000003954566803,0.24286791187734913,0.0002616873697450986,0.9429516114826316,0.00020012116540169732,3.0416960842942813e-14,-3.0873650091374776e-07
0.00010965624273799758,9118.407842463715,4.042189875994784e-18,63051491.42431776,1.0003130200982486,201448491257.10107,0.6813990336934327,0.23019351494823448,7.786290066974756e-13,0.2729179079436786,-3.3824975776139424e-12,-1.0000003983437074,0.242360697351069,0.0002635850571006976,0.9383077571709683,0.00020057968594282104,3.112602968297461e-14,-3.08702165429368e-07
0.00011050183107177965,9048.623796282807,4.1666153200801854e-18,62155512.5846511,1.0003147722563634,196859183210.37827,0.6813990399713764,0.23148143565749382,8.012388625002522e-13,0.2744448694009636,-3.4613525711971715e-12,-1.0000004012511712,0.24185171019861046,0.0002654871203276186,0.9337471407730398,0.00020104514784908327,3.1851627840055405e-14,-3.0866946340609553e-07
0.00011135393996118493,8979.373755509449,4.294863951772395e-18,61272625.82377978,1.0003165305059725,192374426695.49612,0.6813990462951371,0.23277382710583036,8.244955762412436e-13,0.27597713137572977,-3.542045884151173e-12,-1.0000004041792128,0.24134095620699075,0.0002673936254659158,0.929268265355377,0.00020151761291857935,3.2594140627005986e-14,-3.0863844196560644e-07
0.00011221261968794542,8910.65363379736,4.4270530469322765e-18,60402636.102897435,1.0003182948267522,187991839866.93277,0.6813990526650391,0.2340706742834507,8.484173346370076e-13,0.277514676072335,-3.6246203725911052e-12,-1.000000407127974,0.24082844130809045,0.00026930463914286244,0.9248696724661419,0.00020199714334551177,3.335396233840768e-14,-3.086091487963707e-07
0.00011307792092152807,8842.459376070094,4.563303473663372e-18,59545351.322353885,1.0003200651978776,183709095141.29346,0.6813990590814087,0.23537196181305914,8.730228255177641e-13,0.2790574852594253,-3.709119891722329e-12,-1.0000004100975979,0.24031417157902757,0.0002712202285767109,0.9205499408691862,0.00020248380172222175,3.413149645996751e-14,-3.085816321549801e-07
0.00011394989472212632,8774.786958281622,4.703739802233408e-18,58700582.277101375,1.0003218415980242,179523917961.12738,0.6813990655445749,0.23667767394897005,8.983312513211317e-13,0.2806055402688832,-3.795589319132023e-12,-1.0000004130882283,0.2397981532425078,0.00027314046158047236,0.9163076853268104,0.0002029776510412383,3.492715588275716e-14,-3.085559408692927e-07
0.00011482859254367144,8707.632387179015,4.848490418357482e-18,57868142.612821124,1.000323624005363,175434085586.9225,0.6813990720548684,0.23798779457626812,9.243623429399406e-13,0.28215882199483155,-3.884074578623482e-12,-1.0000004161000104,0.23928039266715695,0.0002750654065657202,0.9121415554290487,0.00020347875469734915,3.574136312244855e-14,-3.0853212433921864e-07
0.00011571406623687046,8640.991700066676,4.997687639946859e-18,57047848.78271368,1.0003254123975636,171437425916.6052,0.6813990786126226,0.23930230721002838,9.511363739333553e-13,0.2837173108927092,-3.974622664606369e-12,-1.0000004191330902,0.2387608963678288,0.0002769951325464062,0.908050234467443,0.00020398717648968984,3.657455054365872e-14,-3.08510232539241e-07
0.0001166063680522641,8574.860964572625,5.151467837428331e-18,56239520.0049491,1.0003272067517885,167531816331.9486,0.6813990852181732,0.2406211949945846,9.786741751103806e-13,0.28528098697840304,-4.067281667055249e-12,-1.0000004221876149,0.23823967100589408,0.00027892970914270433,0.9040324383513096,0.0002045029806238544,3.742716058952111e-14,-3.0849031602044876e-07
0.00011750555064331143,8509.236278416362,5.3099715577444676e-18,55442978.220761,1.0003290070446975,163715182571.24765,0.681399091871858,0.24194444070285895,1.0069971494954447e-12,0.28684982982745383,-4.16210079705028e-12,-1.0000004252637322,0.23771672338950606,0.0002808692065848671,0.9000869145646754,0.00020502623171402438,3.8299646016612955e-14,-3.084724259119461e-07
0.00011841166706949636,8444.113769178633,5.473343652146563e-18,54658048.053179406,1.0003308132524422,159985497627.6855,0.6813990985740173,0.24327202673574372,1.0361272876856328e-12,0.28842381857432303,-4.25913041291312e-12,-1.000000428361592,0.2371920604738441,0.0002828136957171092,0.8962124411620908,0.00020555699478512233,3.919247013535786e-14,-3.084566139227769e-07
0.00011932477079945786,8379.48959407298,5.641733407896625e-18,53884556.76639076,1.0003326253506672,156340780672.7967,0.6813991053249937,0.24460393512153972,1.0660871836096124e-12,0.29000293191172666,-4.358422046952126e-12,-1.000000431481344,0.23666568936133633,0.00028476324800150496,0.8924078258016579,0.00020609533527498274,4.0106107056024794e-14,-3.084429323438765e-07
0.00012024491571414658,8315.359939718865,5.815294683998502e-18,53122334.22571387,1.0003344433145105,152779096004.447,0.6813991121251322,0.24594014751545543,1.0969000506985422e-12,0.29158714809004177,-4.4600284328312786e-12,-1.00000043462314,0.23613761730185687,0.00028671793552191273,0.8886719048136613,0.00020664131903654846,4.1041041940472123e-14,-3.084314340490201e-07
0.00012117215611000261,8251.721021916777,5.994186051080445e-18,52371212.858186685,1.0003362671185998,149298552018.79245,0.68139911897478,0.247280645199159,1.1285897384792661e-12,0.29317644491677525,-4.564003533576811e-12,-1.0000004377871319,0.2356078516929035,0.00028867783098791594,0.8850035423032983,0.0002071950123400869,4.1997771259748926e-14,-3.084221724973166e-07
0.00012210654670216113,8188.569085424813,6.178570935557435e-18,51631027.61374929,1.0003380967370559,145897300205.6456,0.681399125874287,0.24862540908039435,1.1611807496007534e-12,0.29477079975610865,-4.6704025702371246e-12,-1.0000004409734737,0.23507640007974884,0.000290643007738785,0.8814016292860545,0.0002077564818754288,4.297680305770227e-14,-3.0841520173497034e-07
0.0001230481426276794,8125.900403737198,6.368617768202925e-18,50901615.92701957,1.0003399321434885,142573534166.74185,0.6813991328240052,0.24997441969265125,1.194698257304545e-12,0.29637018952850697,-4.7792820512104465e-12,-1.00000044418232,0.23454327015557136,0.0002926135397474656,0.8778650828543471,0.00020832579475423197,4.3978657220741496e-14,-3.0841057639563354e-07
0.00012399699944879165,8063.711278864296,6.564500137266272e-18,50182817.67964724,1.0003417733109978,139325488656.3592,0.6813991398242893,0.2513276571948989,1.2291681233507122e-12,0.297974590710403,-4.890699802256577e-12,-1.0000004474138264,0.2340084697615601,0.0002945895016245809,0.8743928453741424,0.00020890301851226583,4.500386575387258e-14,-3.0840835170300833e-07
