a,z,k_h_Mpc,delta_A,theta_A,Phi,Q,deltaQ,curvature_proxy,conservation_residual
0.00010000000000000009,9998.99999999999,0.0001,1e-05,0.0,-1.0731621444630713e-06,0.0,0.0,-2.2601711888702625e-06,nan
0.00010077112648825889,9922.477436927458,0.0001,1.0000000000231957e-05,-6.057526913912715e-14,-1.0793187174638801e-06,0.0,0.0,-2.2540146159467725e-06,nan
0.00010154819933712645,9846.540444120863,0.0001,1.000000000093348e-05,-1.2225949427497553e-13,-1.0854984082928938e-06,0.0,0.0,-2.2478349253515994e-06,nan
0.00010233126440056487,9771.184540646407,0.0001,1.0000000002113163e-05,-1.8507199283701833e-13,-1.0917011640474026e-06,0.0,0.0,-2.2416321699903187e-06,nan
0.0001031203678861276,9696.405279859619,0.0001,1.0000000003779748e-05,-2.4903241608549745e-13,-1.097926930062842e-06,0.0,0.0,-2.2354064045304075e-06,nan
0.00010391555635768725,9622.198249142839,0.0001,1.000000000594213e-05,-3.1416072501995534e-13,-1.104175649905382e-06,0.0,0.0,-2.2291576854086615e-06,nan
0.00010471687673818289,9548.559069644887,0.0001,1.0000000008609357e-05,-3.80477194474238e-13,-1.1104472653647246e-06,0.0,0.0,-2.2228860708383945e-06,nan
0.00010552437631238814,9475.483396022726,0.0001,1.0000000011790637e-05,-4.480024172487879e-13,-1.1167417164471228e-06,0.0,0.0,-2.2165916208164226e-06,nan
0.00010633810272970286,9402.966916184929,0.0001,1.0000000015495334e-05,-5.167573082803963e-13,-1.1230589413686437e-06,0.0,0.0,-2.210274397129801e-06,nan
0.00010715810400696326,9331.00535103737,0.0001,1.0000000019732973e-05,-5.867631088490261e-13,-1.1293988765486367e-06,0.0,0.0,-2.2039344633623543e-06,nan
0.00010798442853127686,9259.594454230572,0.0001,1.000000002451325e-05,-6.580413908221844e-13,-1.1357614566034681e-06,0.0,0.0,-2.1975718849009483e-06,nan
0.00010881712506287623,9188.730011909287,0.0001,1.000000002984602e-05,-7.306140609363226e-13,-1.142146614340464e-06,0.0,0.0,-2.1911867289415428e-06,nan
0.00010965624273799758,9118.407842463715,0.0001,1.0000000035741313e-05,-8.045033651157383e-13,-1.1485542807521225e-06,0.0,0.0,-2.184779064494982e-06,nan
0.00011050183107177965,9048.623796282807,0.0001,1.0000000042209331e-05,-8.79731892828553e-13,-1.1549843850105555e-06,0.0,0.0,-2.178348962392555e-06,nan
0.00011135393996118493,8979.373755509449,0.0001,1.0000000049260449e-05,-9.563225814798803e-13,-1.1614368544621821e-06,0.0,0.0,-2.1718964952913006e-06,nan
0.00011221261968794542,8910.65363379736,0.0001,1.0000000056905218e-05,-1.0342987208423273e-12,-1.1679116146226936e-06,0.0,0.0,-2.1654217376790456e-06,nan
0.00011307792092152807,8842.459376070094,0.0001,1.0000000065154371e-05,-1.1136839575233357e-12,-1.1744085891722476e-06,0.0,0.0,-2.1589247658792098e-06,nan
0.00011394989472212632,8774.786958281622,0.0001,1.0000000074018825e-05,-1.194502299469856e-12,-1.1809276999509524e-06,0.0,0.0,-2.152405658055323e-06,nan
0.00011482859254367144,8707.632387179015,0.0001,1.0000000083509684e-05,-1.2767781205097109e-12,-1.1874688669545905e-06,0.0,0.0,-2.145864494215304e-06,nan
0.00011571406623687046,8640.991700066676,0.0001,1.0000000093638236e-05,-1.3605361649301692e-12,-1.1940320083306361e-06,0.0,0.0,-2.1393013562154422e-06,nan
0.0001166063680522641,8574.860964572625,0.0001,1.0000000104415965e-05,-1.445801552093044e-12,-1.2006170403745169e-06,0.0,0.0,-2.132716327764138e-06,nan
0.00011750555064331143,8509.236278416362,0.0001,1.0000000115854545e-05,-1.5325997810868164e-12,-1.2072238775261792e-06,0.0,0.0,-2.1261094944253357e-06,nan
0.00011841166706949636,8444.113769178633,0.0001,1.0000000127965852e-05,-1.6209567354152168e-12,-1.213852432366912e-06,0.0,0.0,-2.1194809436217055e-06,nan
0.00011932477079945786,8379.48959407298,0.0001,1.000000014076196e-05,-1.7108986877223316e-12,-1.220502615616455e-06,0.0,0.0,-2.1128307646375318e-06,nan
0.00012024491571414658,8315.359939718865,0.0001,1.0000000154255148e-05,-1.802452304554357e-12,-1.2271743361304079e-06,0.0,0.0,-2.106159048621308e-06,nan
