a,z,H_km_s_Mpc,Omega_A,Omega_Bfoam,Omega_clustering,w_dark,w_eff,D,f
0.00010000000000000009,9998.99999999999,74926072.10923609,0.21564607538906622,5.517176321052305e-13,0.255539450487892,-2.558440403371201e-12,0.24815351650330028,0.00024064881629880217,1.0
0.00010077112648825889,9922.477436927458,73856413.40152395,0.21688160717444407,5.678143553344278e-13,0.25700354906917355,-2.618084413567776e-12,0.2476654836428517,0.00024249922720446496,0.9943319030012358
0.00010154819933712645,9846.540444120863,72802435.50278649,0.21812176010519888,5.84374126366317e-13,0.2584731236830834,-2.679118883337962e-12,0.24717562543819296,0.00024435332529508264,0.9887678383762173
0.00010233126440056487,9771.184540646407,71763904.35425796,0.2193665233613079,6.014100456616027e-13,0.259948161507952,-2.7415762279707585e-12,0.2466839461632141,0.0002462111712524222,0.9833043787350072
0.0001031203678861276,9696.405279859619,70740589.42785837,0.22061588576909646,6.18935577190146e-13,0.2614286493030345,-2.805489618441199e-12,0.24619045023149658,0.00024807282543918684,0.9779395612098795
0.00010391555635768725,9622.198249142839,69732263.6726476,0.22186983579978428,6.369645582948086e-13,0.2629145734067873,-2.870892999027492e-12,0.2456951421968883,0.0002499383487682822,0.9726714772824901
0.00010471687673818289,9548.559069644887,68738703.46209604,0.22312836156807317,6.555112098162594e-13,0.2644059197351954,-2.9378211053387173e-12,0.24519802675406085,0.00025180780270639213,0.9674982708833677
0.00010552437631238814,9475.483396022726,67759688.54215701,0.22439145083077947,6.745901464855023e-13,0.26590267378015114,-3.0063094827627973e-12,0.2446991087390502,0.00025368124927756404,0.9624181365695678
0.00010633810272970286,9402.966916184929,66795001.980126284,0.22565909098551618,6.942163875910549e-13,0.26740482060789306,-3.0763945053446887e-12,0.2441983931297767,0.0002555587510668194,0.9574293177767265
0.00010715810400696326,9331.00535103737,65844430.1142825,0.22693126906941707,7.144053679277318e-13,0.2689123448574935,-3.148113395104444e-12,0.24369588504654963,0.00025744037122377725,0.9525301051420129
0.00010798442853127686,9259.594454230572,64907762.50428961,0.22820797175791352,7.351729490344038e-13,0.2704252307394095,-3.221504241805882e-12,0.24319158975254995,0.0002593261734662963,0.9477188348946446
0.00010881712506287623,9188.730011909287,63984791.88235688,0.22948918536355453,7.565354307280034e-13,0.2719434620340844,-3.2966060231858566e-12,0.24268551265429647,0.0002612162220841392,0.942993887310794
0.00010965624273799758,9118.407842463715,63075314.10513808,0.23077489583488078,7.785095629415252e-13,0.27346702209061374,-3.373458625655373e-12,0.2421776593020908,0.0002631105819426493,0.9383536852299167
