a,z,rho_de_eff,w_eff_de,positive_rho_de_eff
0.00010000000000000009,9998.99999999999,7674971886.754395,-8.191610068042365e-08,True
0.00010077112648825889,9922.477436927458,7500124176.322144,-8.191667200119213e-08,True
0.00010154819933712645,9846.540444120863,7329259766.714478,-8.19175814958939e-08,True
0.00010233126440056487,9771.184540646407,7162287912.187866,-8.191735412221846e-08,True
0.0001031203678861276,9696.405279859619,6999119934.326904,-8.191871836427111e-08,True
0.00010391555635768725,9622.198249142839,6839669174.948364,-8.192030997999922e-08,True
0.00010471687673818289,9548.559069644887,6683850950.074707,-8.191993094985861e-08,True
0.00010552437631238814,9475.483396022726,6531582504.961182,-8.192084044456038e-08,True
0.00010633810272970286,9402.966916184929,6382782970.143799,-8.19223563430782e-08,True
0.00010715810400696326,9331.00535103737,6237373318.489746,-8.192258371675365e-08,True
0.00010798442853127686,9259.594454230572,6095276323.22583,-8.192334155499026e-08,True
0.00010881712506287623,9188.730011909287,5956416516.925049,-8.192455425160006e-08,True
0.00010965624273799758,9118.407842463715,5820720151.423828,-8.19259943218853e-08,True
0.00011050183107177965,9048.623796282807,5688115158.656616,-8.192675216012191e-08,True
0.00011135393996118493,8979.373755509449,5558531112.37854,-8.192713119026251e-08,True
0.00011221261968794542,8910.65363379736,5431899190.764404,-8.192781331128884e-08,True
0.00011307792092152807,8842.459376070094,5308152139.855713,-8.192970801790267e-08,True
0.00011394989472212632,8774.786958281622,5187224237.843811,-8.193122391642049e-08,True
0.00011482859254367144,8707.632387179015,5069051260.163269,-8.193190603744682e-08,True
0.00011571406623687046,8640.991700066676,4953570445.384216,-8.193266387568343e-08,True
0.0001166063680522641,8574.860964572625,4840720461.878662,-8.193364919861779e-08,True
0.00011750555064331143,8509.236278416362,4730441375.248108,-8.193471023876242e-08,True
0.00011841166706949636,8444.113769178633,4622674616.491882,-8.193607448081508e-08,True
0.00011932477079945786,8379.48959407298,4517362950.901978,-8.193774192477576e-08,True
0.00012024491571414658,8315.359939718865,4414450447.664978,-8.193804512668379e-08,True
0.00012117215611000261,8251.721021916777,4313882450.157898,-8.193978828785475e-08,True
0.00012210654670216113,8188.569085424813,4215605546.92041,-8.194168310549088e-08,True
0.0001230481426276794,8125.900403737198,4119567543.2871094,-8.194191047916632e-08,True
0.00012399699944879165,8063.711278864296,4025717433.6679077,-8.19435778121047e-08,True
0.0001249531731561874,8001.99804111443,3934005374.4591064,-8.194547262974083e-08,True
0.00012591672017231442,7940.757048877391,3844382657.570862,-8.194668532635063e-08,True
0.00012688769735470985,7879.984688409446,3756801684.55896,-8.194865586119704e-08,True
0.00012786616199935346,7819.67737362021,3671215941.345398,-8.195024747692514e-08,True
0.00012885217184405037,7759.831545860932,3587579973.5143433,-8.195070222427603e-08,True
0.00012984578507183636,7700.443673714602,3505849362.171997,-8.19519906380961e-08,True
0.00013084706031441263,7641.510252787478,3425980700.355591,-8.195471912220142e-08,True
