a,z,k_h_Mpc,delta_A,theta_A,Phi,Q,deltaQ,curvature_proxy,conservation_residual
0.00010000000000000009,9998.99999999999,0.0001,1e-05,0.0,-1.0965423850797618e-06,18980.14537366356,0.18980145373663562,-2.236790948253572e-06,0.0
0.00010077112648825889,9922.477436927458,0.0001,1.0000000000827688e-05,-6.152383544364372e-14,-1.102795418695407e-06,18753.85345171972,0.18753853453271951,-2.2305379149138225e-06,0.0
0.00010154819933712645,9846.540444120863,0.0001,1.0000000002142264e-05,-1.2416864535439562e-13,-1.1090715027979782e-06,18530.259508680974,0.18530259512650646,-2.2242618312494433e-06,0.0
0.00010233126440056487,9771.184540646407,0.0001,1.0000000003952577e-05,-1.8795384619207624e-13,-1.115370578879905e-06,18309.331377733284,0.18309331384970187,-2.2179627557709536e-06,0.0
0.0001031203678861276,9696.405279859619,0.0001,1.0000000006267626e-05,-2.528991882207124e-13,-1.1216925866423603e-06,18091.037275573563,0.18091037286912348,-2.211640748780182e-06,0.0
0.00010391555635768725,9622.198249142839,0.0001,1.0000000009096567e-05,-3.1902473059025136e-13,-1.1280374639884954e-06,17875.345797836897,0.17875345814097326,-2.2052958723770272e-06,0.0
0.00010471687673818289,9548.559069644887,0.0001,1.0000000012448714e-05,-3.8635084537010956e-13,-1.134405147016903e-06,17662.225914578794,0.17662225936565992,-2.1989281904660013e-06,0.0
0.00010552437631238814,9475.483396022726,0.0001,1.0000000016333539e-05,-4.548982216184721e-13,-1.1407955700153054e-06,17451.646965811244,0.17451646994315959,-2.192537768762541e-06,0.0
0.00010633810272970286,9402.966916184929,0.0001,1.0000000020760677e-05,-5.246878694874932e-13,-1.147208665454507e-06,17243.57865709159,0.17243578692890427,-2.186124674799052e-06,0.0
0.00010715810400696326,9331.00535103737,0.0001,1.0000000025739931e-05,-5.95741124363982e-13,-1.153644363982564e-06,17037.99105516465,0.17037991099020322,-2.1796889779307463e-06,0.0
0.00010798442853127686,9259.594454230572,0.0001,1.000000003128127e-05,-6.680796510460436e-13,-1.1601025944192284e-06,16834.85458365608,0.16834854636317642,-2.173230749341195e-06,0.0
0.00010881712506287623,9188.730011909287,0.0001,1.0000000037394833e-05,-7.417254479551186e-13,-1.1665832837506146e-06,16634.140018817794,0.16634140081020884,-2.166750062047663e-06,0.0
0.00010965624273799758,9118.407842463715,0.0001,1.0000000044090934e-05,-8.167008513838868e-13,-1.173086357124151e-06,16435.81848532345,0.16435818557790507,-2.16024699090616e-06,0.0
0.00011050183107177965,9048.623796282807,0.0001,1.000000005138006e-05,-8.930285397795852e-13,-1.1796117378437691e-06,16239.861452114488,0.16239861535554995,-2.153721612616251e-06,0.0
0.00011135393996118493,8979.373755509449,0.0001,1.000000005927288e-05,-9.7073153806283e-13,-1.1861593473653592e-06,16046.24072829574,0.1604624082340643,-2.1471740057256006e-06,0.0
0.00011221261968794542,8910.65363379736,0.0001,1.0000000067780238e-05,-1.0498332219820778e-12,-1.1927291052925072e-06,15854.928459079478,0.1585492856654456,-2.1406042506342386e-06,0.0
0.00011307792092152807,8842.459376070094,0.0001,1.0000000076913167e-05,-1.130357322503197e-12,-1.1993209293724735e-06,15665.897121778515,0.1566589724226989,-2.1340124295985824e-06,0.0
0.00011394989472212632,8774.786958281622,0.0001,1.0000000086682888e-05,-1.2123279302346366e-12,-1.2059347354924782e-06,15479.11952184636,0.15479119656023838,-2.127398626735151e-06,0.0
0.00011482859254367144,8707.632387179015,0.0001,1.0000000097100805e-05,-1.2957694998875234e-12,-1.2125704376762288e-06,15294.568788965296,0.1529456893747679,-2.12076292802404e-06,0.0
0.00011571406623687046,8640.991700066676,0.0001,1.000000010817852e-05,-1.3807068547711904e-12,-1.2192279480807604e-06,15112.2183731804,0.15112218536662142,-2.11410542131208e-06,0.0
0.0001166063680522641,8574.860964572625,0.0001,1.0000000119927828e-05,-1.4671651913234266e-12,-1.2259071769935285e-06,14932.04204108032,0.14932042220157057,-2.1074261963157477e-06,0.0
