a,z,Gamma,H_km_s_Mpc,H_over_H_LCDM,rho_A_over_rhocrit0,rho_Bfoam_over_rhocrit0,Omega_A,Omega_Bfoam,Omega_clustering,w_dark,w_Bfoam_eff,w_eff,D,f,f_sigma8_proxy,delta_w_dark_vs_LCDM,delta_f_sigma8_vs_LCDM
0.00010000000000000009,9998.99999999999,8.323726026372591e-14,75100831.49148269,1.002979556044909,272265676089.29306,0.15310655636572054,0.2192922060690722,1.2331732369403122e-13,0.25900013368775443,-5.623424831392304e-13,-1.0493396004270172,0.24699995543725076,0.00023749050836314995,1.0,0.00019260480228251462,2.0265591540395043e-12,-3.2229670202560162e-06
0.00010077112648825889,9922.477436927458,8.563299119508787e-14,74029663.71047892,1.0029966238818129,266063043096.97964,0.15328110869297146,0.22054275426716394,1.2705649568907078e-13,0.26047712256861516,-5.761082294958657e-13,-1.049546819394204,0.2465076258102922,0.0002393166585645636,0.9943583460333483,0.00019299084511546297,2.073147549775136e-12,-3.222733348606983e-06
0.00010154819933712645,9846.540444120863,8.809654322293923e-14,72974188.79762077,1.0030137555179413,260001715672.78012,0.1534565928232191,0.22179791279091254,1.3090818229457642e-13,0.26195955658123676,-5.902137700362648e-13,-1.04975403133313,0.2460134811394132,0.00024114649669595438,0.9888204845490058,0.00019338343312096318,2.1208031659525636e-12,-3.22251719879569e-06
0.00010233126440056487,9771.184540646407,9.062979953544202e-14,71934172.60324441,1.0030309508034077,254078474657.40814,0.15363301145873523,0.2230576699454656,1.3487573714734327e-13,0.2634474219131431,-6.046675605471755e-13,-1.0499612268783278,0.2455175260287725,0.00024298008329954048,0.983382982800115,0.0001937823505307354,2.169550348016068e-12,-3.2223175738245685e-06
0.0001031203678861276,9696.405279859619,9.323469445997539e-14,70909384.50905633,1.0030482095834388,248290174229.00784,0.15381036728487218,0.2243220136777719,1.3896261268090574e-13,0.26494070432879896,-6.194782687731795e-13,-1.050168396622188,0.24501976522354843,0.0002448174785987498,0.9780438847274626,0.0001941876548703199,2.2194139941354575e-12,-3.2221349345135314e-06
0.00010391555635768725,9622.198249142839,9.591321481741328e-14,69899597.37458232,1.0030655316983583,242633740232.40424,0.1539886629697919,0.22559093157522914,1.4317236299496305e-13,0.2664393891680131,-6.346547797606291e-13,-1.0503755311160543,0.24452020361047144,0.0002466587433636414,0.972801288343486,0.0001945994040368472,2.2704195676890252e-12,-3.2219697474060764e-06
0.00010471687673818289,9548.559069644887,9.866740131129012e-14,68904587.48443252,1.0030829169835622,237106168546.4296,0.15416790116419496,0.22686441086437553,1.4750864680673036e-13,0.26794346134439284,-6.502062013367903e-13,-1.0505826208713334,0.24401884621833905,0.000248503938914437,0.9676533438428507,0.000195017656300875,2.322593110026746e-12,-3.2218224847946288e-06
0.00010552437631238814,9475.483396022726,1.0149934995273094e-13,67924134.49636874,1.0031003652695047,231704523488.4442,0.1543480845010498,0.22814243840962783,1.519752304865165e-13,0.2694529053438536,-6.661418697276525e-13,-1.0507896563606192,0.24351569821851288,0.00025035312712506355,0.962598251790663,0.00019544247030823947,2.3759612535200774e-12,-3.2216936247454514e-06
0.00010633810272970286,9402.966916184929,1.0441121352205064e-13,66958021.390158474,1.0031178763816768,226425936255.1921,0.15452921559532293,0.2294250007120713,1.5657599117989658e-13,0.2709677052231896,-6.824713553179533e-13,-1.050996628018835,0.24301076492539467,0.0002522063704267195,0.957634261384587,0.00019587390508192412,2.4305512349048992e-12,-3.2215836511236353e-06
0.00010715810400696326,9331.00535103737,1.0740520306792036e-13,66006034.41721031,1.0031354501405914,221267603399.19525,0.15471129704370867,0.23071208390829337,1.6131492001887356e-13,0.2724878446086965,-6.992044685569327e-13,-1.0512035262443882,0.24250405179688606,0.0002540637318114549,0.9527596687873986,0.00019631202002394512,2.48639090892382e-12,-3.221493053617142e-06
0.00010798442853127686,9259.594454230572,1.1048358944506243e-13,65067963.05097101,1.0031530863617641,216226785339.83813,0.15489433142436043,0.23200367376927186,1.6619612542454908e-13,0.2740133066948584,-7.163512660136254e-13,-1.0514103414003422,0.2419955644348256,0.00025592527483576905,0.9479728155266536,0.00019675687491725277,2.5435087622749294e-12,-3.221422327760547e-06
0.00010881712506287623,9188.730011909287,1.1364870489141321e-13,64143599.938080475,1.0031707848556985,211300804908.39145,0.15507832129662155,0.23329975569930886,1.7122383650382354e-13,0.2755440742430884,-7.339220565853559e-13,-1.0516170638156008,0.24148530858540887,0.00025779106362423094,0.9432720869583275,0.00019720852992765266,2.6019339278734193e-12,-3.2213719749584055e-06
0.00010965624273799758,9118.407842463715,1.1690294464576074e-13,63232740.85026571,1.0031885454278706,206487045926.16467,0.1552632692007575,0.23460031473501988,1.7640240654278408e-13,0.277080129580535,-7.519274078634432e-13,-1.0518236837861097,0.2409732901395865,0.00025966116287311105,0.9386559107914866,0.0001976670456057415,2.661696199433474e-12,-3.2213425025089137e-06
0.00011050183107177965,9048.623796282807,1.2024876860684945e-13,62335184.63696843,1.0032063678787124,201782951815.0622,0.15544917765768843,0.2359053355443719,1.817363165994498e-13,0.2786214545989456,-7.703781526599963e-13,-1.0520301915760706,0.2404595151334425,0.00026153563785403903,0.9341227556711492,0.00019813248288886402,2.7228260463772306e-12,-3.22133442362535e-06
0.00011135393996118493,8979.373755509449,1.23688703034992e-13,61450733.17869255,1.0032242520036008,197186024239.79285,0.1556360491687221,0.23721480242577384,1.8723017919865343e-13,0.2801680307535928,-7.892853956999217e-13,-1.0522365774191687,0.23994398974855277,0.0002634145544176728,0.9296711298167047,0.00019860490310308546,2.785354629078257e-12,-3.2213482574594934e-06
0.00011221261968794542,8910.65363379736,1.2722534229725586e-13,60579191.34105881,1.003242197592841,192693821781.00128,0.15582388621528837,0.2385286993072238,1.9288874213191934e-13,0.28171983906226666,-8.086605204823742e-13,-1.0524428315198167,0.2394267203123205,0.0002652979789973926,0.9252995797133441,0.00019908436796518554,2.8493138144471386e-12,-3.2213845291226024e-06
0.00011307792092152807,8842.459376070094,1.3086135065728858e-13,59720366.92956086,1.0032602044316554,188303958638.64337,0.15601269125867362,0.23984700974550485,1.9871689236522742e-13,0.28327686010432535,-8.285151963158343e-13,-1.052648944054409,0.23890771329829327,0.00026718597861301026,0.9210066888541222,0.0001995709395846703,2.914736191866462e-12,-3.221443769706422e-06
0.00011394989472212632,8774.786958281622,1.3459946411091924e-13,58874070.645005785,1.0032782723001719,184014103364.8841,0.1562024667397568,0.24116971692544076,2.0471966005770642e-13,0.2848390740198157,-8.488613855313481e-13,-1.0528549051725926,0.23838697532645517,0.0002690786208744973,0.9167910765303764,0.00020006468046580275,2.9816550894834317e-12,-3.221526516304841e-06
0.00011482859254367144,8707.632387179015,1.384424922686455e-13,58040116.03963509,1.003296400973412,179821977625.87823,0.15639321507874568,0.24249680365920195,2.109022226942974e-13,0.28640646050865387,-8.697113508782981e-13,-1.0530607049985476,0.23786451316350077,0.0002709759739857368,0.9126513966683402,0.00020056565350965534,3.0501045908676323e-12,-3.221633312033026e-06
