any_unstable,background_min_rho_b,background_reconstruction_max_abs_e2_error,classification,delta_a_rms_rel_error_max_over_k,exact_mapping,f_max_abs_error,gamma_max_error,gamma_rms_error,h_max_abs_error,has_perturbations,label,note,perturbation_skip_reason,perturbation_status,positive_rho_de_eff_all,rho_a_max_rel_error,rho_b_max_rel_error,run_id,same_stability_flags,status,w_dark_max_abs_error
False,0.685708,,parameterization_difference,0.02030673477732897,False,0.0055585179706085786,1.0,0.6634866983786741,0.011866393424044164,True,LCDM / Gamma(a)=0,LCDM null limit.,,integrated,,0.028157466252988643,1.8627385502813238,R0,True,implemented,0.0064344910558181215
False,0.23952868484361411,,exact_equivalence,0.0,True,0.0,0.0,0.0,0.0,True,retained P1,Retained P1 reference.,,integrated,,0.0,0.0,R1,True,implemented,0.0
False,0.23952868484361411,,exact_equivalence,0.0,True,0.0,0.0,0.0,0.0,True,interacting vacuum with xi(a)=Gamma(a),Same background and Level 2A P1 vacuum closure as retained P1.,,integrated,,0.0,0.0,R2,True,implemented_exact_mapping,0.0
,,,generic_IDE_subset_mapping,,True,,,,,False,generic time-dependent IDE with xi(a)=Gamma(a),Not an independent numerical baseline without a distinct IDE closure.,,,,,,R3,,analytic_subset_mapping,
,-281462361.93795604,,background_viability_failure,,False,0.004483624762416483,0.8449468155781745,0.5359577234682519,0.008772345277866744,False,constant-coupling IDE/interacting vacuum matched by integrated transfer,constant gamma0=0.00310101786409 matched to retained P1 integrated transfer.,Perturbation closure requires positive finite phase-B density; negative rho_B is a background-viability failure.,skipped_background_viability_failure,,0.021657334865903426,1175067455.3289876,R4,,implemented,0.005331829976028525
,-12152.953548551326,,background_viability_failure,,False,0.0025467570879975643,1.628074554927617,0.5559312645870694,0.0029339871696436592,False,power-law Gamma(a) matched by least-squares transfer shape,"powerlaw gamma0=0.039597370816, beta=1.43862178575 fit over retained P1 support.",Perturbation closure requires positive finite phase-B density; negative rho_B is a background-viability failure.,skipped_background_viability_failure,,0.009272061031337842,50737.944330846505,R5,,implemented,0.0035950587293788194
,,0.0001220703125,background_degenerate,,True,,,,,False,effective non-interacting w(a) reconstruction,Matches P1 background expansion by construction; no transfer perturbations.,,,True,,,R6,,background_reconstruction,
