a,z,k_h_Mpc,delta_A,theta_A,delta_B_or_substitute,theta_B,Phi,Q,deltaQ,curvature_proxy,conservation_residual
0.00010000000000000009,9998.99999999999,0.0001,1e-05,0.0,1.000000000000001e-08,0.0,-1.073162144463074e-06,0.0,0.0,-2.2601711888702595e-06,nan
0.00010077112648825889,9922.477436927458,0.0001,1.0000000000231957e-05,-6.05752691391273e-14,9.549779157574977e-09,4.951842274769634e-13,-1.079318717463883e-06,0.0,0.0,-2.2540146159467695e-06,nan
0.00010154819933712645,9846.540444120863,0.0001,1.000000000093348e-05,-1.222594942749759e-13,9.119828192073892e-09,9.823435158552486e-13,-1.0854984082928965e-06,0.0,0.0,-2.247834925351597e-06,nan
0.00010233126440056487,9771.184540646407,0.0001,1.0000000002113163e-05,-1.8507199283701881e-13,8.709234511452783e-09,1.461840730010501e-12,-1.091701164047405e-06,0.0,0.0,-2.241632169990316e-06,nan
0.0001031203678861276,9696.405279859619,0.0001,1.0000000003779748e-05,-2.4903241608549805e-13,8.317126610461079e-09,1.934028876477919e-12,-1.0979269300628445e-06,0.0,0.0,-2.235406404530405e-06,nan
0.00010391555635768725,9622.198249142839,0.0001,1.000000000594213e-05,-3.141607250199561e-13,7.942672220827963e-09,2.399251197573662e-12,-1.1041756499053844e-06,0.0,0.0,-2.229157685408659e-06,nan
0.00010471687673818289,9548.559069644887,0.0001,1.0000000008609357e-05,-3.804771944742389e-13,7.585076544732137e-09,2.8578414849209025e-12,-1.1104472653647271e-06,0.0,0.0,-2.222886070838392e-06,nan
0.00010552437631238814,9475.483396022726,0.0001,1.0000000011790637e-05,-4.4800241724878896e-13,7.2435805678043866e-09,3.3101243832537242e-12,-1.1167417164471254e-06,0.0,0.0,-2.21659162081642e-06,nan
0.00010633810272970286,9402.966916184929,0.0001,1.0000000015495334e-05,-5.167573082803975e-13,6.917459448081511e-09,3.7564156847957376e-12,-1.1230589413686462e-06,0.0,0.0,-2.2102743971297985e-06,nan
0.00010715810400696326,9331.00535103737,0.0001,1.0000000019732973e-05,-5.867631088490274e-13,6.606020977494065e-09,4.1970226144974874e-12,-1.1293988765486392e-06,0.0,0.0,-2.2039344633623518e-06,nan
0.00010798442853127686,9259.594454230572,0.0001,1.000000002451325e-05,-6.580413908221858e-13,6.3086041126199265e-09,4.63224410641376e-12,-1.1357614566034705e-06,0.0,0.0,-2.197571884900946e-06,nan
