product_id,source_figure,evidence_level,z,beta_mean,beta_68_low,beta_68_high,beta_95_low,beta_95_high,digitization_sigma
desi_dr2_cmb_desi,fig_reconstruct,digitized_uncertainty,0.0,-1.7344064386317908,-1.86317907444668,0.2816901408450705,-1.9839034205231387,0.30181086519114686,0.035
desi_dr2_cmb_desi,fig_reconstruct,digitized_uncertainty,0.01,-1.7344064386317908,-1.86317907444668,0.2816901408450705,-1.9839034205231387,0.30181086519114686,0.035
desi_dr2_cmb_desi,fig_reconstruct,digitized_uncertainty,0.02,-1.7344064386317908,-1.86317907444668,0.2816901408450705,-1.9839034205231387,0.30181086519114686,0.035
desi_dr2_cmb_desi,fig_reconstruct,digitized_uncertainty,0.03,-0.5110663983903421,-1.750503018108652,0.2937625754527162,-1.9839034205231387,1.0020120724346078,0.035
desi_dr2_cmb_desi,fig_reconstruct,digitized_uncertainty,0.04,-0.5030181086519114,-1.750503018108652,0.2937625754527162,-1.9839034205231387,1.0100603621730382,0.035
desi_dr2_cmb_desi,fig_reconstruct,digitized_uncertainty,0.05,-0.5030181086519114,-1.750503018108652,0.2937625754527162,-1.9839034205231387,1.0100603621730382,0.035
desi_dr2_cmb_desi,fig_reconstruct,digitized_uncertainty,0.06,-0.5030181086519114,-1.7424547283702214,0.2937625754527162,-1.9839034205231387,1.0181086519114688,0.035
desi_dr2_cmb_desi,fig_reconstruct,digitized_uncertainty,0.07,-0.5030181086519114,-1.7424547283702214,0.30181086519114686,-1.9839034205231387,1.0181086519114688,0.035
desi_dr2_cmb_desi,fig_reconstruct,digitized_uncertainty,0.08,-0.5030181086519114,-1.7344064386317908,0.30181086519114686,-1.9839034205231387,1.0181086519114688,0.035
desi_dr2_cmb_desi,fig_reconstruct,digitized_uncertainty,0.09,-0.5030181086519114,-1.7344064386317908,0.30181086519114686,-1.9678068410462775,1.0181086519114688,0.035
desi_dr2_cmb_desi,fig_reconstruct,digitized_uncertainty,0.1,-0.5030181086519114,-1.7344064386317908,0.2937625754527162,-1.9517102615694166,1.0181086519114688,0.035
desi_dr2_cmb_desi,fig_reconstruct,digitized_uncertainty,0.11,-0.5110663983903421,-1.7344064386317908,0.26961770623742454,-1.8953722334004026,1.0181086519114688,0.035
