product_id,source_figure,representation,family_id,family_class,parameter_count_fixed_mode,parameter_count_descriptive_mode,rms_error,uncertainty_weighted_rms,max_error,peak_offset_delta_z,weighted_mean_offset_delta_z,support_overlap,high_z_support_capture,low_z_mismatch,transition_mismatch,explained_fraction_vs_zero,compression_efficiency_fixed_mode,aic_like_fixed_mode,bic_like_fixed_mode,aic_like_descriptive_mode,bic_like_descriptive_mode,fit_parameters
desi_dr2_cmb_desi,fig_reconstruct,signed_history,zero_coupling,zero,0,0,0.36129905704802434,0.322989987192745,1.0,0.0,1.3359648922179657,0.0,0.0,0.31542923433874714,0.2162020848991863,0.0,0.0,175.6115556922461,175.6115556922461,175.6115556922461,175.6115556922461,{}
desi_dr2_cmb_desi,fig_reconstruct,signed_history,retained_gamma,retained,0,2,0.7755474754102408,0.7727904701474255,1.3640376682879982,2.04,0.0694182786361075,0.38285046450750804,0.4172208230168353,0.9337223233617693,0.9351956222870245,-4.724603307580327,-4.724603307580327,1005.3064925651588,1005.3064925651588,1009.3064925651588,1016.3573984434224,{}
desi_dr2_cmb_desi,fig_reconstruct,signed_history,logistic_transition,transition,2,2,0.20307427634668948,0.11878384125074225,0.667067879105007,0.0,0.14242532092552573,0.6795340317016199,0.8022398461216724,0.20965132280755938,0.07874700679197719,0.8647502059697811,0.43237510298489057,27.75142673670259,34.80233261496616,27.75142673670259,34.80233261496616,"{""center_ln_a"": -0.7516577810972208, ""center_z"": 1.1205124498413204, ""width_ln_a"": 1.8}"
desi_dr2_cmb_desi,fig_reconstruct,signed_history,gaussian_ln_a,smooth_pulse,2,2,0.7691605093457463,0.782773665258731,1.2633093556550528,1.72,0.07804127357994384,0.3843831899613763,0.4229550984901244,0.906911114633243,0.9563314701128544,-4.873463769457307,-2.4367318847286534,1035.4481098564415,1042.4990157347052,1035.4481098564415,1042.4990157347052,{}
desi_dr2_cmb_desi,fig_reconstruct,signed_history,logistic_pulse,smooth_pulse,2,2,0.7652684991165594,0.7758418209948842,1.2923910634063396,1.72,0.07678024625512059,0.3868225179186849,0.4241521141999808,0.9042714779244438,0.9442648202909845,-4.769899566894907,-2.3849497834474533,1017.2610391304315,1024.3119450086951,1017.2610391304315,1024.3119450086951,{}
desi_dr2_cmb_desi,fig_reconstruct,signed_history,tomographic_3_bins,tomographic,3,3,0.5359381579358942,0.508465324111898,0.8445475638051044,1.31,0.028755699432400972,0.40290270867768285,0.41244170820794385,0.3784739554353518,0.23133361138564768,-1.4782468494296634,-0.4927489498098878,441.2087846177508,451.78514343514615,441.2087846177508,451.78514343514615,"{""n_bins"": 3.0}"
desi_dr2_cmb_desi,fig_reconstruct,signed_history,tomographic_5_bins,tomographic,5,5,0.4403526362918532,0.40353426264414277,0.8445475638051044,1.73,0.004456847980752077,0.4517779503913111,0.4618132357071219,0.3585756746253496,0.23931490614907777,-0.5609274264753479,-0.11218548529506958,284.1168936860299,301.74415838168886,284.1168936860299,301.74415838168886,"{""n_bins"": 5.0}"
desi_dr2_cmb_desi,fig_reconstruct,positive_support,zero_coupling,zero,0,0,0.5114879296750009,0.5114879296750009,1.0,1.87,1.9072289547466226,0.0,0.0,0.0,0.055208890473643545,0.0,0.0,65.66659545300789,65.66659545300789,65.66659545300789,65.66659545300789,{}
desi_dr2_cmb_desi,fig_reconstruct,positive_support,retained_gamma,retained,0,2,0.5161819332906197,0.5161819332906197,0.8430115417063379,0.16999999999999993,0.5018457838925496,0.4419851611892324,0.7585745561484677,0.6182906888869437,0.7244985902096408,-0.018438528612689353,-0.018438528612689353,66.87739085216607,66.87739085216607,70.87739085216607,77.92829673042964,{}
desi_dr2_cmb_desi,fig_reconstruct,positive_support,logistic_transition,transition,2,2,0.10925556909377337,0.10925556909377337,0.37868721943574446,0.6299999999999999,0.0045594417224246175,0.8153136541354238,0.8605457522693335,0.03100234308308369,0.0730614616288114,0.9543735806126395,0.4771867903063198,6.9961316238790765,14.047037502142643,6.9961316238790765,14.047037502142643,"{""center_ln_a"": -0.9500119177756541, ""center_z"": 1.5857404754071016, ""width_ln_a"": 0.12873949579831934}"
desi_dr2_cmb_desi,fig_reconstruct,positive_support,gaussian_ln_a,smooth_pulse,2,2,0.11344819514107829,0.11344819514107829,0.3853902640455885,0.6299999999999999,0.004616729522668894,0.8087585488124648,0.8473889313388652,0.026430747839854947,0.0688531479688453,0.9508046105346727,0.47540230526733634,7.230493738172814,14.281399616436381,7.230493738172814,14.281399616436381,"{""center_ln_a"": -1.252762968495368, ""center_z"": 2.5, ""width_ln_a"": 0.27663865546218486}"
