wavelength,flux
3600.0,0.012577031850814808
3600.8,0.022718492746353125
3601.6000000000004,-0.04620820879936218
3602.4000000000005,-0.07392790675163269
3603.2000000000007,-0.02568715929985046
3604.000000000001,0.02804375767707825
3604.800000000001,0.11423276066780091
3605.6000000000013,0.08479881167411805
3606.4000000000015,0.07952969312667849
3607.2000000000016,0.11421146392822266
3608.000000000002,0.04219120025634768
3608.800000000002,0.07411665201187134
3609.600000000002,0.02386569738388062
3610.4000000000024,0.09047623395919799
3611.2000000000025,0.05791078329086304
3612.0000000000027,0.17417328119277958
3612.800000000003,0.18231178998947148
3613.600000000003,0.11127807378768925
3614.4000000000033,0.18028571605682375
3615.2000000000035,0.072792296409607
3616.0000000000036,0.05001428961753851
3616.800000000004,0.14720181107521063
3617.600000000004,0.18401779651641847
3618.400000000004,0.0337918519973755
3619.2000000000044,0.1486524796485901
3620.0000000000045,0.2405933475494385
3620.8000000000047,0.28212627172470095
3621.600000000005,0.31811803579330444
3622.400000000005,0.46851094961166384
3623.2000000000053,0.4874452471733094
3624.0000000000055,0.3894180274009704
3624.8000000000056,0.30337347626686095
3625.600000000006,0.3069344985485077
3626.400000000006,0.2916488075256347
3627.200000000006,0.2737017524242401
3628.0000000000064,0.3192770230770111
3628.8000000000065,0.2731711447238922
3629.6000000000067,0.27467029690742495
3630.400000000007,0.20880600571632385
3631.200000000007,0.1774460279941559
3632.0000000000073,0.14013657450675965
3632.8000000000075,0.12346776604652404
3633.6000000000076,0.1323215115070343
3634.400000000008,0.0428013598918915
3635.200000000008,0.12834748148918151
3636.000000000008,0.18334927558898928
3636.8000000000084,0.07700626373291018
3637.6000000000085,0.12660151124000552
3638.4000000000087,0.23819556832313532
3639.200000000009,0.12654349207878107
3640.000000000009,0.055650589019060115
3640.8000000000093,0.019319564849138222
3641.6000000000095,0.02586154654622077
3642.4000000000096,-0.12501390978693966
3643.20000000001,-0.12582898184657096
3644.00000000001,-0.11646190688014031
3644.80000000001,-0.06777231618762017
3645.6000000000104,0.0087310941517353
3646.4000000000106,0.03156844452023505
3647.2000000000107,0.07718232825398444
3648.000000000011,0.032187439948320386
3648.800000000011,0.04090079024434088
3649.6000000000113,0.14222102358937266
3650.4000000000115,0.20675248101353647
3651.2000000000116,0.25063425019383434
3652.000000000012,0.25058291032910346
3652.800000000012,0.18655398920178415
3653.600000000012,0.2580577047169209
3654.4000000000124,0.3456960232555867
3655.2000000000126,0.310967562943697
3656.0000000000127,0.28224886372685437
3656.800000000013,0.2619196601212025
3657.600000000013,0.13404969170689585
3658.4000000000133,0.12568269208073618
3659.2000000000135,0.19306580737233164
3660.0000000000136,0.2679702794551849
3660.800000000014,0.20516571402549744
3661.600000000014,0.2632378947734833
3662.400000000014,0.3530861103534698
3663.2000000000144,0.2230185377597809
3664.0000000000146,0.2930745804309845
3664.8000000000147,0.24987270474433898
3665.600000000015,0.17541593194007873
3666.400000000015,0.15369972825050354
3667.2000000000153,0.04429022431373597
3668.0000000000155,0.10659139573574067
3668.8000000000156,0.09585603654384614
3669.600000000016,0.026819583773613
3670.400000000016,0.02081686913967134
3671.200000000016,0.022166633009910584
3672.0000000000164,-0.028158597350120523
3672.8000000000166,-0.027938424944877627
3673.6000000000167,-0.09407000720500946
3674.400000000017,-0.12995246112346648
3675.200000000017,-0.19228496968746184
3676.0000000000173,-0.15623076379299164
3676.8000000000175,-0.12328410565853118
3677.6000000000176,-0.07308070361614227
3678.400000000018,-0.06578214108943939
3679.200000000018,-0.1542821568250656
3680.000000000018,-0.24104250729084012
3680.8000000000184,-0.1833319264650345
3681.6000000000186,-0.2136663836240768
3682.4000000000187,-0.30994270741939545
3683.200000000019,-0.19180556714534758
3684.000000000019,-0.2073400956392288
3684.8000000000193,-0.23308811485767367
3685.6000000000195,-0.2189293509721756
3686.4000000000196,-0.16707690298557282
3687.20000000002,-0.10873497903347017
3688.00000000002,-0.0991286301612854
3688.80000000002,-0.07336945354938507
3689.6000000000204,-0.09899516642093659
3690.4000000000206,-0.14822654068470004
3691.2000000000207,-0.14118747174739837
3692.000000000021,-0.10276220262050628
3692.800000000021,-0.05321120917797088
3693.6000000000213,-0.04212273061275483
3694.4000000000215,-0.001318106055259699
3695.2000000000216,0.034056114554405215
3696.000000000022,0.04472963511943817
3696.800000000022,0.08459078013896942
3697.600000000022,0.1275784319639206
3698.4000000000224,0.09781462848186494
3699.2000000000226,0.07840222060680391
3700.0000000000227,0.05969778358936309
3700.800000000023,0.03969623506069184
3701.600000000023,0.06410063564777374
3702.4000000000233,0.1079267781972885
3703.2000000000235,0.0754891437292099
3704.0000000000236,0.0752904862165451
3704.800000000024,0.13358054101467132
3705.600000000024,0.16000538051128388
3706.400000000024,0.10137134730815889
3707.2000000000244,0.05849405348300936
3708.0000000000246,0.07752688586711884
3708.8000000000247,0.11756531953811646
3709.600000000025,0.13665526390075686
3710.400000000025,0.14930852174758913
3711.2000000000253,0.17781219840049745
3712.0000000000255,0.23541014075279237
3712.8000000000256,0.16860004067420964
3713.600000000026,0.18326894640922547
3714.400000000026,0.09060847878456116
3715.200000000026,0.10692583560943605
3716.0000000000264,0.1117850208282471
3716.8000000000266,0.04724780082702637
3717.6000000000267,0.04319938302040101
3718.400000000027,0.06592152953147887
3719.200000000027,0.11035752415657044
3720.0000000000273,0.19924636006355284
3720.8000000000275,0.23990436792373657
3721.6000000000276,0.22208783149719238
3722.400000000028,0.19830397725105287
3723.200000000028,0.20699517846107485
3724.000000000028,0.22265589237213135
3724.8000000000284,0.2199495005607605
3725.6000000000286,0.23013922691345215
3726.4000000000287,0.27121292591094975
3727.200000000029,0.2903605890274048
3728.000000000029,0.25385573029518127
3728.8000000000293,0.18934611558914186
3729.6000000000295,0.21757924675941467
3730.4000000000296,0.2266970580816269
3731.20000000003,0.1978061181306839
3732.00000000003,0.20206281006336213
3732.80000000003,0.25910360813140865
3733.6000000000304,0.23552536487579345
3734.4000000000306,0.25172803401947025
3735.2000000000307,0.2842462348937988
3736.000000000031,0.2694685745239258
3736.800000000031,0.31078516721725463
3737.6000000000313,0.2899124789237977
3738.4000000000315,0.26806309834122655
3739.2000000000317,0.26957873776555064
3740.000000000032,0.20251634672284125
3740.800000000032,0.14370230749249457
3741.600000000032,0.15924554899334908
3742.4000000000324,0.17050054147839547
3743.2000000000326,0.12214309290051462
3744.0000000000327,0.08445193484425545
3744.800000000033,0.07192873671650887
3745.600000000033,0.04214077547192573
3746.4000000000333,0.03321934893727302
3747.2000000000335,0.074504806548357
3748.0000000000337,0.1258068700134754
3748.800000000034,0.13884032651782036
3749.600000000034,0.11944659158587456
3750.400000000034,0.13894043907523157
3751.2000000000344,0.16014195784926416
3752.0000000000346,0.1545510683953762
3752.8000000000347,0.15255455777049065
3753.600000000035,0.2318694190680981
3754.400000000035,0.2985690884292126
3755.2000000000353,0.3034511141479015
3756.0000000000355,0.2808061091601849
3756.8000000000357,0.2719941394031048
3757.600000000036,0.33275731846690176
3758.400000000036,0.36279991298913955
3759.200000000036,0.39666278213262557
3760.0000000000364,0.4773190090060234
3760.8000000000366,0.5660486695170402
3761.6000000000367,0.5977423068881035
3762.400000000037,0.5826901718974113
3763.200000000037,0.6340273377299309
3764.0000000000373,0.7257434567809105
3764.8000000000375,0.7721366652846338
3765.6000000000377,0.8338461944460869
3766.400000000038,0.860892935693264
3767.200000000038,0.8965121325850487
3768.000000000038,0.8848893985152244
3768.8000000000384,0.8720777368545533
3769.6000000000386,0.8855395379662513
3770.4000000000387,0.8489756777882576
3771.200000000039,0.8458643403649331
3772.000000000039,0.851391762793064
3772.8000000000393,0.8667811396718026
3773.6000000000395,0.8155928453803063
3774.4000000000397,0.7651167753338814
3775.20000000004,0.7086028888821602
3776.00000000004,0.7367968907952309
3776.80000000004,0.7453970494866371
3777.6000000000404,0.7144808116555215
3778.4000000000406,0.7376122751832008
3779.2000000000407,0.69470045119524
3780.000000000041,0.6732684901356697
3780.800000000041,0.6532013228535651
3781.6000000000413,0.6435928919911384
3782.4000000000415,0.6424128285050392
3783.2000000000417,0.676403411924839
3784.000000000042,0.6377298727631568
3784.800000000042,0.703120884001255
3785.600000000042,0.6587884965538979
3786.4000000000424,0.6724576202034951
3787.2000000000426,0.680082189142704
3788.0000000000427,0.7570908370614052
3788.800000000043,0.8325704303383827
3789.600000000043,0.8909817540645599
3790.4000000000433,0.8666181266307831
3791.2000000000435,0.8717183494567871
3792.0000000000437,0.7955642175674439
3792.800000000044,0.8586140012741089
3793.600000000044,0.876183893084526
3794.400000000044,0.9194201207160949
3795.2000000000444,1.0185894131660462
3796.0000000000446,1.0397999453544617
3796.8000000000447,1.0573888850212099
3797.600000000045,1.0390719091892242
3798.400000000045,0.9988950645923615
3799.2000000000453,1.0050682783126832
3800.0000000000455,0.9608610355854035
3800.8000000000457,0.9319326031208037
3801.600000000046,0.8896075296401978
3802.400000000046,0.9190796166658401
3803.200000000046,0.894697979092598
3804.0000000000464,0.9308297663927079
3804.8000000000466,0.8705735522508622
3805.6000000000467,0.9094309431314469
3806.400000000047,0.9593668752908707
3807.200000000047,0.9266338425874711
3808.0000000000473,0.8596604186296464
3808.8000000000475,0.791769939661026
3809.6000000000477,0.7935043346881867
3810.400000000048,0.9555924999713898
3811.200000000048,1.041338368654251
3812.000000000048,1.1337108719348907
3812.8000000000484,1.1256662189960478
3813.6000000000486,1.1486326706409455
3814.4000000000487,1.105701426267624
3815.200000000049,1.0260379946231843
3816.000000000049,0.9449164330959321
3816.8000000000493,0.9281636142730714
3817.6000000000495,0.9309605193138123
3818.4000000000497,0.9446560835838318
3819.20000000005,0.9769138121604919
3820.00000000005,0.9872418832778931
3820.80000000005,1.0291449403762816
3821.6000000000504,1.082052012681961
3822.4000000000506,1.135031105875969
3823.2000000000507,1.1301306027173996
3824.000000000051,1.1283845871686935
3824.800000000051,1.114055868983269
3825.6000000000513,1.1368248194456099
3826.4000000000515,1.1066508549451828
3827.2000000000517,1.1197274965047836
3828.000000000052,1.2162719768285752
3828.800000000052,1.2764299547672273
3829.600000000052,1.2796435987949373
3830.4000000000524,1.2211153566837312
3831.2000000000526,1.1414170777797699
3832.0000000000528,1.1061065351963042
3832.800000000053,1.0470100796222686
3833.600000000053,1.0358903014659882
3834.4000000000533,1.0490507972240448
3835.2000000000535,1.0176821959018707
3836.0000000000537,1.041005185842514
3836.800000000054,1.063385076522827
3837.600000000054,1.0921153771877288
3838.400000000054,1.151202062368393
3839.2000000000544,1.1790951669216156
3840.0000000000546,1.2564330101013184
3840.8000000000548,1.2446262216567994
