Model,GWTC2_log_10_bayes_factor,GWTC3_log_10_bayes_factor
PowerLawPeak,0.0,0.0
BrokenPowerLawPeak,-0.11,-0.46
MultiPeakOld,-0.3,-0.22
BrokenPowerLaw,-0.92,-2.0
