# w(z) comparison over z_desi grid
z,w_QFUDS_tanh,w_DESI_CPL
0.0,-0.9999999999977043,-0.7
0.01256281407035176,-0.9999999999962291,-0.7124069478908188
0.02512562814070352,-0.9999999999938809,-0.7245098039215686
0.03768844221105528,-0.9999999999901861,-0.736319612590799
0.05025125628140704,-0.999999999984437,-0.7478468899521531
0.0628140703517588,-0.9999999999755878,-0.7591016548463356
0.07537688442211056,-0.9999999999621072,-0.7700934579439251
0.08793969849246232,-0.9999999999417771,-0.7808314087759815
0.10050251256281408,-0.9999999999114126,-0.791324200913242
0.11306532663316583,-0.9999999998664832,-0.8015801354401806
0.1256281407035176,-0.9999999998006012,-0.8116071428571427
0.13819095477386936,-0.9999999997048353,-0.8214128035320087
0.15075376884422112,-0.9999999995668016,-0.831004366812227
0.16331658291457288,-0.999999999369463,-0.840388768898488
0.17587939698492464,-0.9999999990895607,-0.8495726495726496
0.1884422110552764,-0.9999999986955773,-0.8585623678646934
0.20100502512562815,-0.999999998145108,-0.8673640167364016
0.2135678391959799,-0.9999999973814956,-0.8759834368530021
0.22613065326633167,-0.9999999963295473,-0.8844262295081967
0.23869346733668342,-0.9999999948901166,-0.8926977687626775
0.2512562814070352,-0.9999999929332948,-0.9008032128514055
0.26381909547738697,-0.9999999902899015,-0.9087475149105367
0.2763819095477387,-0.9999999867409127,-0.916535433070866
0.2889447236180905,-0.9999999820043975,-0.9241715399610135
0.30150753768844224,-0.9999999757194631,-0.9316602316602316
0.314070351758794,-0.9999999674266246,-0.9390057361376672
0.32663316582914576,-0.9999999565439257,-0.9462121212121212
0.3391959798994975,-0.9999999423380297,-0.9532833020637899
0.35175879396984927,-0.9999999238893886,-0.9602230483271375
0.36432160804020103,-0.9999999000504689,-0.9670349907918968
0.3768844221105528,-0.9999998693958732,-0.9737226277372262
0.38944723618090454,-0.9999998301630424,-0.9802893309222422
0.4020100502512563,-0.999999780182058,-0.9867383512544802
0.41457286432160806,-0.9999997167928751,-0.9930728241563055
0.4271356783919598,-0.9999996367481266,-0.9992957746478872
0.4396984924623116,-0.9999995360994212,-1.0054101221640488
0.45226130653266333,-0.9999994100648286,-1.0114186851211073
0.4648241206030151,-0.9999992528750055,-1.0173241852487136
0.47738693467336685,-0.999999057595147,-1.0231292517006803
0.4899497487437186,-0.9999988159196798,-1.0288364249578414
0.5025125628140704,-0.9999985179363164,-1.034448160535117
0.5150753768844222,-0.9999981518557824,-1.039966832504146
0.5276381909547739,-0.9999977037032071,-1.045394736842105
0.5402010050251257,-0.9999971569668307,-1.0507340946166395
0.5527638190954774,-0.9999964921993318,-1.0559870550161812
0.5653266331658292,-0.9999956865667106,-1.06115569823435
0.577889447236181,-0.9999947133392946,-1.0662420382165605
0.5904522613065327,-0.9999935413190456,-1.0712480252764613
0.6030150753768845,-0.9999921341969489,-1.0761755485893416
0.6155778894472362,-0.9999904498338665,-1.0810264385692068
0.628140703517588,-0.9999884394578286,-1.0858024691358024
0.6407035175879398,-0.9999860467703201,-1.0905053598774885
0.6532663316582915,-0.9999832069537102,-1.0951367781155015
0.6658291457286433,-0.9999798455715523,-1.0996983408748116
0.678391959798995,-0.9999758773530749,-1.104191616766467
0.6909547738693468,-0.999971204852774,-1.1086181277860327
0.7035175879396985,-0.9999657169756191,-1.1129793510324482
0.7160804020100503,-0.9999592873579968,-1.117276720351391
0.7286432160804021,-0.9999517725941451,-1.1215116279069766
0.7412060301507538,-0.9999430102974751,-1.1256854256854258
0.7537688442211056,-0.999932816985843,-1.1297994269340974
0.7663316582914573,-0.9999209857795324,-1.133854907539118
0.7788944723618091,-0.9999072839004333,-1.1378531073446327
0.7914572864321608,-0.9998914499606646,-1.1417952314165498
0.8040201005025126,-0.9998731910286982,-1.1456824512534818
0.8165829145728644,-0.9998521794608937,-1.1495159059474411
0.8291457286432161,-0.9998280494862719,-1.1532967032967032
0.8417085427135679,-0.9998003935323322,-1.1570259208731242
0.8542713567839196,-0.9997687582797687,-1.1607046070460703
0.8668341708542714,-0.999732640434084,-1.1643337819650066
0.8793969849246231,-0.9996914822023293,-1.1679144385026738
0.8919597989949749,-0.9996446664635397,-1.1714475431606906
0.9045226130653267,-0.999591511621903,-1.1749340369393138
0.9170854271356784,-0.9995312661322965,-1.1783748361730013
0.9296482412060302,-0.9994631026885862,-1.1817708333333332
0.9422110552763819,-0.9993861120660112,-1.1851228978007762
0.9547738693467337,-0.9992992966101047,-1.1884318766066837
0.9673366834170855,-0.9992015633659428,-1.191698595146871
0.9798994974874372,-0.9990917168431038,-1.1949238578680204
0.992462311557789,-0.998968451413577,-1.198108448928121
1.0050251256281408,-0.9988303433420204,-1.2012531328320801
1.0175879396984926,-0.9986758424502638,-1.2043586550435865
1.0301507537688444,-0.9985032634208169,-1.2074257425742574
1.042713567839196,-0.9983107767474152,-1.2104551045510454
1.0552763819095479,-0.9980963993443529,-1.2134474327628362
1.0678391959798996,-0.9978579848305675,-1.2164034021871202
1.0804020100502514,-0.9975932135091754,-1.2193236714975846
1.0929648241206031,-0.9972995820684851,-1.2222088835534213
1.105527638190955,-0.996974393036455,-1.2250596658711217
1.1180904522613067,-0.9966147440271812,-1.227876631079478
1.1306532663316584,-0.9962175168253282,-1.2306603773584905
1.1432160804020102,-0.9957793663625005,-1.2334114888628371
1.155778894472362,-0.9952967096484362,-1.2361305361305361
1.1683417085427137,-0.994765714729607,-1.2388180764774044
1.1809045226130654,-0.9941822897583683,-1.2414746543778803
1.1934673366834172,-0.9935420722672265,-1.2441008018327606
1.206030150753769,-0.9928404187550701,-1.2466970387243734
1.2185929648241207,-0.9920723947053527,-1.2492638731596828
1.2311557788944725,-0.9912327651701498,-1.2518018018018018
1.2437185929648242,-0.9903159860687003,-1.2543113101903696
1.256281407035176,-0.9893161963643855,-1.256792873051225
1.2688442211055277,-0.9882272112999597,-1.2592469545957918
1.2814070351758795,-0.9870425168870649,-1.2616740088105727
1.2939698492462313,-0.9857552658624307,-1.2640744797371304
1.306532663316583,-0.9843582753393916,-1.2664488017429194
1.3190954773869348,-0.9828440263991591,-1.2687973997833153
1.3316582914572865,-0.9812046658812416,-1.2711206896551723
1.3442211055276383,-0.9794320106460997,-1.2734190782422292
1.35678391959799,-0.9775175545950132,-1.275692963752665
1.3693467336683418,-0.9754524787416358,-1.2779427359490985
1.3819095477386936,-0.9732276646361735,-1.280168776371308
1.3944723618090453,-0.9708337114457982,-1.2823714585519412
1.407035175879397,-0.9682609569930261,-1.2845511482254697
1.4195979899497488,-0.9654995030465034,-1.2867082035306334
