# S8 summary table
model,D_ratio,sigma8,S8,dS8_vs_LCDM
ΛCDM,1.0,0.81,0.8300030120427276,0.0
CP1 hand-tanh V2,0.8120011570422638,0.6577209372042337,0.6739634061272588,-0.15603960591546884
CP3 density-driven,0.8155979847354194,0.6606343676356898,0.6769487839463767,-0.15305422809635094

# fsigma8(z) curves
z,ΛCDM,CP1 hand-tanh V2,CP3 density-driven
0.0,0.4269376111024146,0.34650875704323,0.34806550922797863
0.0006668887403946666,0.4271170438755731,0.34665428850465685,0.3482117076123575
0.0013346675555543364,0.42729633423741115,0.3467997040704181,0.3483577896359967
0.0020033382285997714,0.4274754812876646,0.34694500301344455,0.3485037545638426
0.0026729025474179213,0.4276544841241361,0.3470901846043285,0.3486496016590798
0.0033433623046776884,0.42783334184259536,0.34723524811133816,0.34879533018310893
0.004014719297846137,0.4280120535366849,0.34738019280043064,0.34894093939552506
0.004686975329204257,0.42819061829752914,0.3475250179352663,0.3490864285540966
0.005360132205863399,0.42836903521440284,0.3476697227772219,0.34923179691474643
0.00603419173978148,0.4285473033744242,0.34781430658540446,0.34937704373153283
0.00670915574777875,0.42872542186220874,0.3479587686166648,0.34952216825663174
0.007385026051554666,0.4289033897598664,0.3481031081268884,0.3496671697403195
0.008061804477704326,0.4290812061470006,0.3482473243702848,0.3498120474309577
0.008739492857734232,0.4292588701007056,0.34839141659584405,0.3499568005749771
0.009418093028079166,0.42943638069556445,0.34853538405049206,0.350101428416864
0.010097606830119732,0.4296137370036476,0.3486792259791744,0.35024593019830086
0.010778036110197009,0.42979093809451,0.3488229416248521,0.3503903051593734
0.011459382719631428,0.42996798303519024,0.348966530228498,0.35053455253911997
0.012141648514737868,0.43014487089020753,0.34910999102909296,0.35067867157449795
0.012824835356843423,0.4303216007215603,0.34925332326362335,0.3508226615003826
0.01350894511230405,0.4304981715887241,0.3493965261670759,0.3509665215495668
0.014193979652521893,0.43067458254864965,0.349539598972436,0.3511102509527606
0.014879940853961493,0.4308508326557607,0.34968254091068346,0.35125384893859046
0.015566830598168213,0.43102692096195216,0.34982535121078906,0.35139731473359875
0.016254650771784007,0.4312028465165882,0.34996802909971153,0.3515406475622427
0.01694340326656607,0.4313786083665004,0.3501105738023941,0.3516838466468944
0.01763308997940305,0.4315542055559852,0.3502529845417618,0.3518269112078397
0.018323712812332804,0.431729637126803,0.35039526053871745,0.3519698404632774
0.01901527367256084,0.43190490211817534,0.35053740101213915,0.3521126336293188
0.019707774472476514,0.43207999956678333,0.350679405178877,0.3522552899199868
0.02040121712967058,0.4322549285067653,0.35082127225375,0.3523978085472149
0.021095603566954724,0.4324296879697157,0.35096300144954307,0.3525401887208472
0.021790935712377113,0.4326042769846825,0.3511045919770038,0.35268242964863644
0.02248721549924171,0.4327786945781659,0.3512460430448404,0.3528245305362439
0.02318444486612603,0.43295293977411564,0.35138735385971753,0.3529664905872386
0.023882625756897813,0.43312701159392947,0.35152852362625453,0.3531083090030959
0.024581760120735208,0.4333009090564519,0.35166955154702195,0.35324998498319743
0.025281849912143217,0.4334746311779716,0.35181043682253904,0.3533915177248292
0.025982897090972346,0.43364817697221947,0.3519511786512713,0.35353290642318147
0.026684903622437472,0.4338215454503676,0.35209177622962695,0.3536741502713477
0.027387871477135617,0.43399473562102664,0.3522322287519552,0.35381524846032303
0.02809180263106459,0.4341677464902448,0.3523725354105432,0.3539562001790043
0.028796699065641196,0.4343405770615049,0.35251269539561353,0.35409700461418825
0.02950256276772034,0.43451322633572353,0.35265270789532144,0.354237660950571
0.030209395729613675,0.4346856933112497,0.35279257209575293,0.35437816837074715
0.030917199949107577,0.43485797698386147,0.3529322871809219,0.35451852605520795
0.0316259774294827,0.4350300763467657,0.3530718523327673,0.3546587331823422
0.03233573017953284,0.4352019903905958,0.3532112667311522,0.35479878892843275
0.033046460213583595,0.4353737181034101,0.3533505295538601,0.35493869246765763
0.033758169551511674,0.4355452584706897,0.35348963997659283,0.3550784429720879
0.034470860218764,0.4357166104753379,0.35362859717296896,0.355218039611687
0.0351845342463768,0.43588777309767707,0.35376740031452103,0.3553574815543096
0.03589919367099448,0.43605874531544847,0.35390604857069374,0.35549676796570084
0.0366148405348905,0.43622952610381,0.3540445411088416,0.3556358980094951
0.03733147688598493,0.43640011443533405,0.35418287709422713,0.3557748708472151
0.03804910477786527,0.43657050927755536,0.35432105569001804,0.3559136856382707
0.03876772626980518,0.4367407095934828,0.3544590760572865,0.35605234153995796
0.039487343426785504,0.4369107143484772,0.3545969373550441,0.35619083770750753
0.040207958319512516,0.4370805225053993,0.3547346387427542,0.3563291732947932
0.04092957302443856,0.43725013302448307,0.3548721793765216,0.35646734745295333
0.041652189623782254,0.4374195448633337,0.35500955840868414,0.356605359330701
0.04237581020554759,0.4375887569769293,0.355146774989487,0.35674320807463705
0.043100436863545255,0.43775776831761853,0.3552838282670797,0.35688089282924995
0.043826071697411706,0.43792657783512207,0.35542071738751535,0.3570184127369136
0.044552716812629845,0.4380951844765313,0.35555744149474794,0.35715576693788675
0.04528037432055032,0.43826358718630826,0.35569399973063054,0.35729295457031174
0.04600904633841019,0.43843178490628587,0.3558303912349141,0.35742997477021243
0.04673873498935466,0.4385997765756662,0.3559666151452451,0.35756682667149464
0.04746944240245754,0.43876756113102183,0.35610267059716416,0.357703509405943
0.04820117071274188,0.43893513750629487,0.35623855672410437,0.35784002210322147
0.04893392206120062,0.4391025046327965,0.356374272657389,0.35797636389087123
0.0496676985948179,0.43926966143920676,0.35650981752623145,0.3581125338943097
0.05040250246658906,0.4394366068515746,0.3566451904577317,0.35824853123682987
0.051138335835542836,0.439603339793317,0.35678039057687644,0.3583843550395984
0.051875200866762006,0.43976985918521944,0.3569154170065369,0.3585200044216555
0.05261309973140449,0.439936163945435,0.3570502688674675,0.3586554784999132
0.05335203460672511,0.44010225298948474,0.35718494527830436,0.35879077638915435
0.05409200767609623,0.4402681252302568,0.3573194453555645,0.35892589720203166
0.05483302112903021,0.4404337795780065,0.35745376821364344,0.3590608400490672
0.05557507716120025,0.4405992149403562,0.3575879129648155,0.3591956040386508
0.05631817797446237,0.4407644302222947,0.35772187871923095,0.3593301882770392
0.05706232577687742,0.44092942432617777,0.35785566458491613,0.3594645918683554
