# fsig8(z): model curves and approximate RSD data
z,fsig8_LCDM,fsig8_QFUDS_ceff2_3e-5,fsig8_QFUDS_ceff2_1
0.0,0.42693761456110096,0.39694552680906137,0.3480724106226041
0.005518394648829431,0.42841092898174193,0.3981795922680682,0.34927284918727586
0.011036789297658863,0.42985822369923316,0.3993917337254207,0.35045206462383865
0.016555183946488295,0.43127959171200203,0.40058199811491724,0.35161013264994445
0.022073578595317726,0.432675131154225,0.4017504380545131,0.35274713324442536
0.027591973244147156,0.43404494514431075,0.4028971116722843,0.353863150494864
0.03311036789297659,0.43538914165792025,0.40402208246172466,0.3549582724746344
0.03862876254180602,0.43670783341748914,0.40512541912775923,0.3560325911807573
0.04414715719063545,0.4380011376126415,0.40620719542478106,0.3570862023577902
0.04966555183946488,0.4392691757708876,0.40726749015242275,0.35811920540728326
0.05518394648829431,0.4405120742593675,0.40830638687272663,0.35913170325346866
0.06070234113712374,0.44172996362323125,0.40932397379558066,0.3601238022613496
0.06622073578595318,0.4429229784068587,0.4103203436024248,0.36109561210410646
0.07173913043478261,0.44409125706439695,0.4112955933387261,0.36204724564773433
0.07725752508361204,0.44523494181007406,0.4122498242310072,0.36297881883496363
0.08277591973244147,0.44635417852462667,0.41318314131644907,0.36389045070538123
0.0882943143812709,0.4474491165795574,0.4140956538006951,0.3647822631680246
0.09381270903010033,0.44851990854172624,0.4149874749288625,0.36565438091765395
0.09933110367892976,0.44956671054231706,0.41585872150826275,0.3665069313091077
0.1048494983277592,0.4505896819974085,0.41670951381989363,0.3673400442787858
0.11036789297658862,0.451588985299084,0.4175399754706345,0.36815385222511915
0.11588628762541806,0.45256478572454756,0.4183502332909613,0.36894848989506157
0.12140468227424749,0.4535172513111802,0.4191404172010249,0.36972409425286656
0.12692307692307692,0.4544465527431606,0.41991066008958783,0.37048080455730753
0.13244147157190636,0.4553528632437351,0.42066109770529,0.37121876215056204
0.13795986622073578,0.4562363584204734,0.42139186837818193,0.3719381103285656
0.14347826086956522,0.4570972161216917,0.4221031131920259,0.37263899426630553
0.14899665551839464,0.4579356165327539,0.4227949757997833,0.3733215609129271
0.15451505016722408,0.45875174192529633,0.42346760221779445,0.3739859589089159
0.1600334448160535,0.4595457765293785,0.42412114071586104,0.37463233850383004
0.16555183946488294,0.46031790641701975,0.42475574169512137,0.3752608513363983
0.17107023411371236,0.46106831941090026,0.4253715575954241,0.3758716505692567
0.1765886287625418,0.46179720496945614,0.4259687427754477,0.37646489081028506
0.18210702341137125,0.4625047540854783,0.4265474534092522,0.3770407278923942
0.18762541806020067,0.4631911591917179,0.4271078474087085,0.3775993188052239
0.1931438127090301,0.4638566140498314,0.42765008427707674,0.37814082160900475
0.19866220735785953,0.46450131366115804,0.4281743250084278,0.37866539536214006
0.20418060200668897,0.46512545417101014,0.428680732016942,0.3791732000451653
0.2096989966555184,0.46572923276609257,0.42916946903003794,0.3796643964842708
