# z* -> z_obs lag table
z_star,z_obs,lag_dz,w_at_z0
2.0,0.5296507928588399,1.4703492071411601,-0.9999999662166663
2.5,0.7808416842260195,1.7191583157739805,-0.9999999999548652
3.0,1.0377672457616818,1.9622327542383182,-0.999999999999861
4.0,1.5509582549608,2.4490417450392,-1.0
5.0,2.0531094339429767,2.9468905660570233,-1.0

# w_best curve for z_star=5.0 (observed transition at z~2)
a,z,w_best
0.0010000000000000002,998.9999999999998,-9.999999999999998e-05
0.0010034615829299955,995.5503582908594,-9.999999999999998e-05
0.0010069351484163712,992.1126166096413,-9.999999999999998e-05
0.0010104207379377414,988.6867339055115,-9.999999999999998e-05
0.0010139183931162992,985.2726692692488,-9.999999999999998e-05
0.0010174281557183188,981.8703819327525,-9.999999999999998e-05
0.0010209500676546489,978.4798312685596,-9.999999999999998e-05
0.0010244841709812198,975.1009767893538,-9.999999999999998e-05
0.0010280305078995378,971.7337781474895,-9.999999999999998e-05
0.0010315891207571973,968.3781951345022,-9.999999999999998e-05
0.0010351600520483793,965.034187680635,-9.999999999999998e-05
0.001038743344414362,961.7017158543574,-9.999999999999998e-05
0.001042339040644033,958.3807398618851,-9.999999999999998e-05
0.001045947183674393,955.0712200467127,-9.999999999999998e-05
0.001049567816591077,951.7731168891307,-9.999999999999998e-05
0.00105320098262886,948.4863910057634,-9.999999999999998e-05
0.0010568467251721825,945.2110031490887,-9.999999999999998e-05
0.0010605050877556589,941.946914206979,-9.999999999999998e-05
0.001064176114064607,938.6940852022256,-9.999999999999998e-05
0.001067859847935561,935.4524772920801,-9.999999999999998e-05
0.001071556333356802,932.2220517677856,-9.999999999999998e-05
0.0010752656144688783,929.002770054118,-9.999999999999998e-05
0.0010789877355651335,925.7945937089241,-9.999999999999998e-05
0.00108272274109224,922.59748442266,-9.999999999999998e-05
0.0010864706756507218,919.4114040179394,-9.999999999999998e-05
0.0010902315839954946,916.2363144490707,-9.999999999999998e-05
0.0010940055110363943,913.0721778016098,-9.999999999999998e-05
0.0010977925018387186,909.9189562919007,-9.999999999999998e-05
0.0011015926016237593,906.7766122666304,-9.999999999999998e-05
0.0011054058557693493,903.6451082023732,-9.999999999999998e-05
0.0011092323098103973,900.5244067051486,-9.999999999999998e-05
0.0011130720094394352,897.4144705099714,-9.999999999999998e-05
0.0011169250005071663,894.315262480405,-9.999999999999998e-05
0.0011207913290230058,891.2267456081235,-9.999999999999998e-05
