a,D_over_a_LCDM,D_over_a_V2,fsig8_LCDM,fsig8_V2
0.001,1.0,1.0,0.0011401805016147118,0.0011401805016147115
0.0014997498749374687,0.9879431199586923,0.9834408126211778,0.001608024064695428,0.001566961125072088
0.0019994997498749374,0.9732930450104057,0.9621296584666574,0.0021002969065417663,0.0020152216683119607
0.002499249624812406,0.9619731321252658,0.944612494233772,0.0026019723310179302,0.00246937061678715
0.0029989994997498748,0.9534498893083505,0.9306144749238096,0.0031081266386523685,0.00292474785594557
0.0034987493746873434,0.9469145341904975,0.9192544395653208,0.0036167185349132453,0.003379671121068814
0.003998499249624812,0.9417825143696139,0.9098382166513981,0.004126764679882873,0.003833484005162901
0.004498249124562281,0.9376614419016064,0.9018771683935294,0.004637739002941744,0.004285936931825948
0.0049979989994997495,0.9342868424700392,0.895029820692434,0.005149337008442935,0.004736955977275104
0.005497748874437218,0.9314766224730975,0.8890536364993771,0.0056613717248252095,0.0051865468558206715
0.005997498749374687,0.929102300255763,0.8837725756933758,0.0061737223299179345,0.005634751074061725
0.0064972486243121555,0.927071048427998,0.8790560385058743,0.006686307847636883,0.006081625693672534
0.006996998499249624,0.9253143252236403,0.8748051354694025,0.007199072356756333,0.0065272332718667
0.007496748374187093,0.9237805194103091,0.8709435837789283,0.007711975629972713,0.00697163621457827
0.007996498249124562,0.9224300804531151,0.8674115472221489,0.008224988403854737,0.007414894899870748
0.00849624812406203,0.9212322200565319,0.8641613809557347,0.008738089154892504,0.007857066660860078
0.0089959979989995,0.9201626306459398,0.8611546332735651,0.00925126092148771,0.008298204497989048
0.009495747873936967,0.9192018766077203,0.858359893470433,0.00976449121430645,0.008738358207301353
0.009995497748874437,0.9183342388215769,0.8557512205117088,0.010277769973318047,0.009177573659019198
0.010495247623811904,0.9175468711704685,0.8533069773173416,0.010791089289118396,0.009615893358289418
0.010994997498749375,0.916829175829415,0.85100895355296,0.011304442760971537,0.010053356562978477
0.011494747373686841,0.9161723342319735,0.8488416967916161,0.01181782493156306,0.010489999402433638
0.011994497248624312,0.9155689499241549,0.8467919958867096,0.012331232133317807,0.010925856086393255
0.012494247123561779,0.9150127740904516,0.8448484780425191,0.012844660221240058,0.011360957396695234
0.01299399699849925,0.914498491887324,0.843001290658526,0.013358106686827048,0.011795332869855799
0.013493746873436716,0.9140215549148657,0.8412418482110477,0.01387156905593911,0.012229009565134901
0.013993496748374187,0.9135780481110677,0.8395626284225078,0.014385045107325169,0.01266201264487523
0.014493246623311654,0.9131645835567045,0.8379570074585786,0.014898532994124893,0.013094365761759366
0.014992996498249124,0.9127782147888678,0.8364191254162948,0.01541203125061649,0.013526091137658418
0.015492746373186591,0.9124163674119566,0.8349437755310465,0.01592553849921307,0.01395720946942179
0.01599249624812406,0.9120767822570638,0.833526312435888,0.016439053588701506,0.014387740244347589
0.01649224612306153,0.9117574686722003,0.8321625758252031,0.016952575656316426,0.014817701965468676
0.016991995997999,0.9114566657859883,0.8308488264504577,0.017466103886875854,0.015247111990393556
0.01749174587293647,0.9111728104182145,0.829581692269995,0.01797963706221028,0.015675986285354764
