z,E_LCDM,E_V1,E_V2,dmu_V1,dmu_V2
0.0,1.0,0.9999999999999999,1.0,nan,nan
0.012024048096192385,1.0057357040317567,1.0008962386461473,1.0057357040317927,0.005228366212122637,-3.552713678800501e-14
0.02404809619238477,1.0115756571619225,1.0018132250789755,1.0115756571620147,0.010484006898330733,-9.237055564881302e-14
0.036072144288577156,1.0175196807982734,1.002751159129993,1.0175196807984526,0.015769547648503135,-1.4921397450962104e-13
0.04809619238476954,1.0235675687388646,1.0037102386030217,1.0235675687391772,0.021083843104847233,-2.4868995751603507e-13
0.06012024048096192,1.0297190881770812,1.004690659242233,1.029719088177597,0.02642574572439571,-3.694822225952521e-13
0.07214428857715431,1.0359739807113264,1.0056926147006262,1.0359739807121482,0.03179410699580387,-5.400124791776761e-13
0.0841683366733467,1.0423319633568469,1.0067162965089826,1.0423319633581252,0.03718777862268041,-7.744915819785092e-13
0.09619238476953908,1.0487927295572972,1.0077618940453152,1.04879272955925,0.042605613671817366,-1.0871303857129533e-12
0.10821643286573146,1.055355950193746,1.0088295945048442,1.0553559501966876,0.048046467684663696,-1.5134560271690134e-12
0.12024048096192384,1.0620212745889501,1.0099195828705174,1.0620212745933284,0.053509199750870096,-2.1032064978498966e-12
0.13226452905811623,1.0687883315048303,1.0110320418841077,1.0687883315112792,0.05899267354261184,-2.8848035071860068e-12
0.14428857715430862,1.0756567301312114,1.0121671520179054,1.0756567301406204,0.06449575830882281,-3.943512183468556e-12
0.156312625250501,1.0826260610640055,1.013325091447037,1.0826260610776128,0.0700173298285236,-5.364597654988756e-12
0.1683366733466934,1.0896958972711435,1.0145060360224316,1.0896958972906623,0.07555627132273202,-7.268852186825825e-12
0.18036072144288576,1.0968657950446892,1.0157101592444584,1.0968657950724705,0.08111147432443033,-9.798384326131782e-12
0.19238476953907815,1.104135294937687,1.0169376322372685,1.1041352949769352,0.08668183950634756,-1.3145040611561853e-11
0.20440881763527055,1.1115039226844228,1.018188623723856,1.111503922739476,0.09226627746652127,-1.7571721855347278e-11
0.21643286573146292,1.1189711901028994,1.019463300001874,1.118971190179593,0.0978637094716106,-2.3383961433864897e-11
0.22845691382765532,1.1265365959784455,1.0207618249202253,1.1265365960845777,0.10347306815810953,-3.100097956121317e-11
0.24048096192384769,1.1341996269274974,1.0220843598564626,1.1341996270734265,0.10909329819180869,-4.0898839870351367e-11
0.25250501002004005,1.1419597582407022,1.0234310636950186,1.1419597584401047,0.114723356885861,-5.375255796025158e-11
0.26452905811623245,1.149816454704607,1.0248020928063024,1.1498164549754355,0.12036221477813314,-7.034373084024992e-11
0.27655310621242485,1.157769171401299,1.026197601026693,1.157769171766987,0.1260088561681485,-9.168843462248333e-11
0.28857715430861725,1.1658173544854704,1.0276177396394597,1.1658173549764377,0.13166227961466603,-1.1901590823981678e-10
0.30060120240480964,1.1739604419384726,1.0290626573566481,1.1739604425939993,0.13732149839455587,-1.538467131467769e-10
0.312625250501002,1.182197864299023,1.0305325003019707,1.182197865169567,0.1429855409236751,-1.9808510387520073e-10
0.3246492985971944,1.1905290453703106,1.0320274119947426,1.1905290465203655,0.14865345114100137,-2.54033238888951e-10
0.3366733466933868,1.198953402903336,1.0335475333349036,1.19895340441493,0.15432428885671357,-3.2449065656692255e-10
0.3486973947895792,1.2074703492563954,1.0350930025891838,1.2074703512333667,0.1599971300654488,-4.128892783228366e-10
0.3607214428857715,1.216079292030688,1.0366639553784573,1.2160792946038743,0.16567106722563096,-5.233573574514594e-10
0.3727454909819639,1.2247796346821063,1.03826052466635,1.224779638015627,0.17134520950617826,-6.60861587675754e-10
