z,a,w,c_s2,c_vis2,noncanonicity_NX
4.5000,0.18182,-0.00010,4.600e-06,0.0,2.17390e+05
4.5500,0.18018,-0.00010,4.600e-06,0.0,2.17390e+05
4.6000,0.17857,-0.00010,4.600e-06,0.0,2.17390e+05
4.6500,0.17699,-0.00010,4.600e-06,0.0,2.17390e+05
4.7000,0.17544,-0.00010,4.600e-06,0.0,2.17390e+05
4.7500,0.17391,-0.00010,4.600e-06,0.0,2.17390e+05
4.8000,0.17241,-0.00010,4.600e-06,0.0,2.17390e+05
4.8500,0.17094,-0.00010,4.600e-06,0.0,2.17390e+05
4.9000,0.16949,-0.00010,4.600e-06,0.0,2.17390e+05
4.9500,0.16807,-0.00010,4.600e-06,0.0,2.17390e+05
5.0000,0.16667,-0.00010,4.600e-06,0.0,2.17390e+05
5.0500,0.16529,-0.00010,4.600e-06,0.0,2.17390e+05
5.1000,0.16393,-0.00010,4.600e-06,0.0,2.17390e+05
5.1500,0.16260,-0.00010,4.600e-06,0.0,2.17390e+05
5.2000,0.16129,-0.00010,4.600e-06,0.0,2.17390e+05
5.2500,0.16000,-0.00010,4.600e-06,0.0,2.17390e+05
5.3000,0.15873,-0.00010,4.600e-06,0.0,2.17390e+05
5.3500,0.15748,-0.00010,4.600e-06,0.0,2.17390e+05
5.4000,0.15625,-0.00010,4.600e-06,0.0,2.17390e+05
5.4500,0.15504,-0.00010,4.600e-06,0.0,2.17390e+05
5.5000,0.15385,-0.00010,4.600e-06,0.0,2.17390e+05
5.5500,0.15267,-0.00010,4.600e-06,0.0,2.17390e+05
5.6000,0.15152,-0.00010,4.600e-06,0.0,2.17390e+05
5.6500,0.15038,-0.00010,4.600e-06,0.0,2.17390e+05
5.7000,0.14925,-0.00010,4.600e-06,0.0,2.17390e+05
5.7500,0.14815,-0.00010,4.600e-06,0.0,2.17390e+05
5.8000,0.14706,-0.00010,4.600e-06,0.0,2.17390e+05
5.8500,0.14599,-0.00010,4.600e-06,0.0,2.17390e+05
5.9000,0.14493,-0.00010,4.600e-06,0.0,2.17390e+05
5.9500,0.14388,-0.00010,4.600e-06,0.0,2.17390e+05
6.0000,0.14286,-0.00010,4.600e-06,0.0,2.17390e+05
