# CP15 viscosity scan at fixed c_s²=4.600e-06
# Table 1: T(k) combined-delta transfer per c_vis²
k_Mpc^-1,Tcomb_cvis2=0e+00,Tcomb_cvis2=1e-06,Tcomb_cvis2=1e-04,Tcomb_cvis2=1e-02,Tcomb_cvis2=1e+00,Tm_cvis2=0e+00,Tm_cvis2=1e-06,Tm_cvis2=1e-04,Tm_cvis2=1e-02,Tm_cvis2=1e+00
0.0050119,0.11652,0.11651,0.11639,0.10769,0.07873,1.10728,1.10728,1.10648,1.04806,0.79207
0.0066651,0.11651,0.11651,0.11629,0.10391,0.07667,1.10724,1.10723,1.10583,1.01995,0.77172
0.0088638,0.11650,0.11649,0.11611,0.09980,0.07507,1.10716,1.10714,1.10469,0.98704,0.75592
0.011788,0.11648,0.11647,0.11579,0.09567,0.07391,1.10703,1.10699,1.10269,0.95165,0.74431
0.015676,0.11644,0.11643,0.11526,0.09166,0.07310,1.10679,1.10671,1.09924,0.91572,0.73624
0.020847,0.11637,0.11635,0.11435,0.08791,0.07256,1.10637,1.10624,1.09339,0.88082,0.73092
0.027724,0.11625,0.11622,0.11288,0.08449,0.07223,1.10563,1.10539,1.08375,0.84823,0.72757
0.036869,0.11605,0.11598,0.11063,0.08147,0.07202,1.10433,1.10391,1.06865,0.81896,0.72553
0.049032,0.11569,0.11557,0.10749,0.07890,0.07190,1.10206,1.10132,1.04671,0.79376,0.72432
0.065206,0.11507,0.11487,0.10364,0.07680,0.07183,1.09811,1.09685,1.01803,0.77306,0.72361
0.086715,0.11401,0.11369,0.09947,0.07517,0.07179,1.09133,1.08923,0.98456,0.75692,0.72321
0.11532,0.11226,0.11175,0.09530,0.07398,0.07177,1.07999,1.07662,0.94874,0.74502,0.72298
0.15336,0.10950,0.10879,0.09128,0.07314,0.07176,1.06176,1.05674,0.91248,0.73671,0.72284
0.20395,0.10553,0.10466,0.08753,0.07259,0.07175,1.03441,1.02781,0.87738,0.73121,0.72277
0.27123,0.10055,0.09973,0.08411,0.07224,0.07174,0.99770,0.99057,0.84468,0.72773,0.72273
0.3607,0.09545,0.09489,0.08109,0.07203,0.07174,0.95572,0.94958,0.81534,0.72561,0.72270
0.47968,0.09110,0.09061,0.07852,0.07191,0.07174,0.91473,0.90944,0.79009,0.72435,0.72269
0.63791,0.08708,0.08660,0.07642,0.07183,0.07174,0.87574,0.87082,0.76935,0.72361,0.72268
0.84834,0.08331,0.08293,0.07479,0.07179,0.07174,0.83874,0.83467,0.75316,0.72319,0.72268
1.1282,0.07990,0.07960,0.07359,0.07177,0.07174,0.80482,0.80162,0.74120,0.72295,0.72268
1.5003,0.07686,0.07666,0.07275,0.07175,0.07174,0.77442,0.77225,0.73284,0.72281,0.72267
1.9953,0.07423,0.07414,0.07220,0.07174,0.07174,0.74797,0.74696,0.72730,0.72273,0.72267

# Table 2: S8-like vs c_vis² at fixed c_s²
c_vis2,S8like_combined,S8like_dm
0.000e+00,0.26428,0.82785
1.000e-06,0.26359,0.82594
1.000e-04,0.24512,0.77479
1.000e-02,0.22448,0.71242
1.000e+00,0.22234,0.70569

# Table 3: VALIDATION c_vis2=0 vs CP11 full_2fluid_D1 (delta_m)
k_Mpc^-1,dm_CP15_cvis0,dm_CP11,abs_rel_resid
0.0050119,7.475508e-01,7.475508e-01,0.000e+00
0.0066651,7.475362e-01,7.475362e-01,0.000e+00
0.0088638,7.475105e-01,7.475105e-01,0.000e+00
0.011788,7.474653e-01,7.474653e-01,0.000e+00
0.015676,7.473851e-01,7.473851e-01,0.000e+00
0.020847,7.472435e-01,7.472435e-01,0.000e+00
0.027724,7.469939e-01,7.469939e-01,0.000e+00
0.036869,7.465548e-01,7.465548e-01,0.000e+00
0.049032,7.457853e-01,7.457853e-01,0.000e+00
0.065206,7.444467e-01,7.444467e-01,0.000e+00
0.086715,7.421464e-01,7.421464e-01,0.000e+00
0.11532,7.382794e-01,7.382794e-01,0.000e+00
0.15336,7.320213e-01,7.320213e-01,0.000e+00
0.20395,7.225315e-01,7.225315e-01,0.000e+00
0.27123,7.095964e-01,7.095964e-01,0.000e+00
0.3607,6.945072e-01,6.945072e-01,8.293e-09
0.47968,6.794492e-01,6.794492e-01,0.000e+00
0.63791,6.648128e-01,6.648128e-01,6.738e-09
0.84834,6.506184e-01,6.506184e-01,1.709e-09
1.1282,6.373236e-01,6.373236e-01,0.000e+00
1.5003,6.251738e-01,6.251738e-01,1.098e-08
1.9953,6.144047e-01,6.144047e-01,4.203e-08
# max_abs_rel_resid,4.203e-08

# Table 4: k-shape — dark-fluid ratio (both at fixed fit c_s²)
k_Mpc^-1,supp_vis_cvis2=1e+00_over_cvis0,supp_jeans_fitcs_over_nopress
0.0050119,0.02176,0.99951
0.0066651,0.01437,0.99914
0.0088638,0.00987,0.99850
0.011788,0.00717,0.99738
0.015676,0.00558,0.99537
0.020847,0.00466,0.99186
0.027724,0.00414,0.98565
0.036869,0.00387,0.97478
0.049032,0.00376,0.95581
0.065206,0.00378,0.92312
0.086715,0.00395,0.86789
0.11532,0.00437,0.77777
0.15336,0.00528,0.63988
0.20395,0.00746,0.45203
0.27123,0.01367,0.24624
0.3607,0.03388,0.09922
0.47968,0.06270,0.05358
0.63791,0.11437,0.02936
0.84834,0.25749,0.01304
1.1282,0.69733,0.00482
1.5003,2.30640,0.00146
1.9953,18.74423,0.00018
# k_cross_vis_ratio_0.95,1.1798,# k_cross_cs_ratio_0.95,0.0516
# k_jeans_cs,0.1048,# k_visc_aH,0.0002
