a,z,w_tanh,"phi_fast relax, low barrier","w_eff_fast relax, low barrier",phi_slow relax (lag),w_eff_slow relax (lag),phi_high barrier (supercool),w_eff_high barrier (supercool)
0.0010000000000000002,998.9999999999998,-1.926121955209137e-06,9.999999999999998e-05,-9.999999999999998e-05,9.999999999999998e-05,-9.999999999999998e-05,9.999999999999998e-05,-9.999999999999998e-05
0.0010034615829299955,995.5503582908594,-1.926388670414614e-06,9.999999999999998e-05,-9.999999999999998e-05,9.999999999999998e-05,-9.999999999999998e-05,9.999999999999998e-05,-9.999999999999998e-05
0.0010069351484163712,992.1126166096413,-1.926656345963007e-06,9.999999999999998e-05,-9.999999999999998e-05,9.999999999999998e-05,-9.999999999999998e-05,9.999999999999998e-05,-9.999999999999998e-05
0.0010104207379377414,988.6867339055115,-1.9269249855180526e-06,9.999999999999998e-05,-9.999999999999998e-05,9.999999999999998e-05,-9.999999999999998e-05,9.999999999999998e-05,-9.999999999999998e-05
0.0010139183931162992,985.2726692692488,-1.927194592632464e-06,9.999999999999998e-05,-9.999999999999998e-05,9.999999999999998e-05,-9.999999999999998e-05,9.999999999999998e-05,-9.999999999999998e-05
0.0010174281557183188,981.8703819327525,-1.9274651709144663e-06,9.999999999999998e-05,-9.999999999999998e-05,9.999999999999998e-05,-9.999999999999998e-05,9.999999999999998e-05,-9.999999999999998e-05
0.0010209500676546489,978.4798312685596,-1.9277367240277954e-06,9.999999999999998e-05,-9.999999999999998e-05,9.999999999999998e-05,-9.999999999999998e-05,9.999999999999998e-05,-9.999999999999998e-05
0.0010244841709812198,975.1009767893538,-1.928009255580676e-06,9.999999999999998e-05,-9.999999999999998e-05,9.999999999999998e-05,-9.999999999999998e-05,9.999999999999998e-05,-9.999999999999998e-05
0.0010280305078995378,971.7337781474895,-1.9282827692923554e-06,9.999999999999998e-05,-9.999999999999998e-05,9.999999999999998e-05,-9.999999999999998e-05,9.999999999999998e-05,-9.999999999999998e-05
0.0010315891207571973,968.3781951345022,-1.9285572687710584e-06,9.999999999999998e-05,-9.999999999999998e-05,9.999999999999998e-05,-9.999999999999998e-05,9.999999999999998e-05,-9.999999999999998e-05
0.0010351600520483793,965.034187680635,-1.928832757736032e-06,9.999999999999998e-05,-9.999999999999998e-05,9.999999999999998e-05,-9.999999999999998e-05,9.999999999999998e-05,-9.999999999999998e-05
0.001038743344414362,961.7017158543574,-1.9291092398510123e-06,9.999999999999998e-05,-9.999999999999998e-05,9.999999999999998e-05,-9.999999999999998e-05,9.999999999999998e-05,-9.999999999999998e-05
0.001042339040644033,958.3807398618851,-1.9293867188907576e-06,9.999999999999998e-05,-9.999999999999998e-05,9.999999999999998e-05,-9.999999999999998e-05,9.999999999999998e-05,-9.999999999999998e-05
0.001045947183674393,955.0712200467127,-1.929665198574515e-06,9.999999999999998e-05,-9.999999999999998e-05,9.999999999999998e-05,-9.999999999999998e-05,9.999999999999998e-05,-9.999999999999998e-05
0.001049567816591077,951.7731168891307,-1.9299446826770428e-06,9.999999999999998e-05,-9.999999999999998e-05,9.999999999999998e-05,-9.999999999999998e-05,9.999999999999998e-05,-9.999999999999998e-05
0.00105320098262886,948.4863910057634,-1.930225174862077e-06,9.999999999999998e-05,-9.999999999999998e-05,9.999999999999998e-05,-9.999999999999998e-05,9.999999999999998e-05,-9.999999999999998e-05
0.0010568467251721825,945.2110031490887,-1.930506679015398e-06,9.999999999999998e-05,-9.999999999999998e-05,9.999999999999998e-05,-9.999999999999998e-05,9.999999999999998e-05,-9.999999999999998e-05
0.0010605050877556589,941.946914206979,-1.9307891989117643e-06,9.999999999999998e-05,-9.999999999999998e-05,9.999999999999998e-05,-9.999999999999998e-05,9.999999999999998e-05,-9.999999999999998e-05
0.001064176114064607,938.6940852022256,-1.931072738270423e-06,9.999999999999998e-05,-9.999999999999998e-05,9.999999999999998e-05,-9.999999999999998e-05,9.999999999999998e-05,-9.999999999999998e-05
0.001067859847935561,935.4524772920801,-1.9313573010326657e-06,9.999999999999998e-05,-9.999999999999998e-05,9.999999999999998e-05,-9.999999999999998e-05,9.999999999999998e-05,-9.999999999999998e-05
0.001071556333356802,932.2220517677856,-1.9316428909177397e-06,9.999999999999998e-05,-9.999999999999998e-05,9.999999999999998e-05,-9.999999999999998e-05,9.999999999999998e-05,-9.999999999999998e-05
0.0010752656144688783,929.002770054118,-1.9319295119224478e-06,9.999999999999998e-05,-9.999999999999998e-05,9.999999999999998e-05,-9.999999999999998e-05,9.999999999999998e-05,-9.999999999999998e-05
0.0010789877355651335,925.7945937089241,-1.9322171678215483e-06,9.999999999999998e-05,-9.999999999999998e-05,9.999999999999998e-05,-9.999999999999998e-05,9.999999999999998e-05,-9.999999999999998e-05
0.00108272274109224,922.59748442266,-1.9325058624453106e-06,9.999999999999998e-05,-9.999999999999998e-05,9.999999999999998e-05,-9.999999999999998e-05,9.999999999999998e-05,-9.999999999999998e-05
0.0010864706756507218,919.4114040179394,-1.932795599846049e-06,9.999999999999998e-05,-9.999999999999998e-05,9.999999999999998e-05,-9.999999999999998e-05,9.999999999999998e-05,-9.999999999999998e-05
0.0010902315839954946,916.2363144490707,-1.9330863838540324e-06,9.999999999999998e-05,-9.999999999999998e-05,9.999999999999998e-05,-9.999999999999998e-05,9.999999999999998e-05,-9.999999999999998e-05
0.0010940055110363943,913.0721778016098,-1.933378218410553e-06,9.999999999999998e-05,-9.999999999999998e-05,9.999999999999998e-05,-9.999999999999998e-05,9.999999999999998e-05,-9.999999999999998e-05
0.0010977925018387186,909.9189562919007,-1.9336711074013913e-06,9.999999999999998e-05,-9.999999999999998e-05,9.999999999999998e-05,-9.999999999999998e-05,9.999999999999998e-05,-9.999999999999998e-05
0.0011015926016237593,906.7766122666304,-1.9339650549343723e-06,9.999999999999998e-05,-9.999999999999998e-05,9.999999999999998e-05,-9.999999999999998e-05,9.999999999999998e-05,-9.999999999999998e-05
0.0011054058557693493,903.6451082023732,-1.9342600648397656e-06,9.999999999999998e-05,-9.999999999999998e-05,9.999999999999998e-05,-9.999999999999998e-05,9.999999999999998e-05,-9.999999999999998e-05
0.0011092323098103973,900.5244067051486,-1.9345561412253964e-06,9.999999999999998e-05,-9.999999999999998e-05,9.999999999999998e-05,-9.999999999999998e-05,9.999999999999998e-05,-9.999999999999998e-05
0.0011130720094394352,897.4144705099714,-1.9348532880325564e-06,9.999999999999998e-05,-9.999999999999998e-05,9.999999999999998e-05,-9.999999999999998e-05,9.999999999999998e-05,-9.999999999999998e-05
0.0011169250005071663,894.315262480405,-1.9351515093690708e-06,9.999999999999998e-05,-9.999999999999998e-05,9.999999999999998e-05,-9.999999999999998e-05,9.999999999999998e-05,-9.999999999999998e-05
0.0011207913290230058,891.2267456081235,-1.9354508091762312e-06,9.999999999999998e-05,-9.999999999999998e-05,9.999999999999998e-05,-9.999999999999998e-05,9.999999999999998e-05,-9.999999999999998e-05
0.0011246710411556386,888.1488830124631,-1.935751191561863e-06,9.999999999999998e-05,-9.999999999999998e-05,9.999999999999998e-05,-9.999999999999998e-05,9.999999999999998e-05,-9.999999999999998e-05
0.0011285641832335619,885.0816379399887,-1.9360526606337913e-06,9.999999999999998e-05,-9.999999999999998e-05,9.999999999999998e-05,-9.999999999999998e-05,9.999999999999998e-05,-9.999999999999998e-05
0.0011324708017456473,882.0249737640474,-1.9363552204998413e-06,9.999999999999998e-05,-9.999999999999998e-05,9.999999999999998e-05,-9.999999999999998e-05,9.999999999999998e-05,-9.999999999999998e-05
0.001136390943341687,878.9788539843393,-1.936658875156816e-06,9.999999999999998e-05,-9.999999999999998e-05,9.999999999999998e-05,-9.999999999999998e-05,9.999999999999998e-05,-9.999999999999998e-05
0.0011403246548329598,875.9432422264734,-1.9369636288235625e-06,9.999999999999998e-05,-9.999999999999998e-05,9.999999999999998e-05,-9.999999999999998e-05,9.999999999999998e-05,-9.999999999999998e-05
0.0011442719831927825,872.9181022415402,-1.9372694856634176e-06,9.999999999999998e-05,-9.999999999999998e-05,9.999999999999998e-05,-9.999999999999998e-05,9.999999999999998e-05,-9.999999999999998e-05
0.0011482329755570734,869.9033979056758,-1.937576449728695e-06,9.999999999999998e-05,-9.999999999999998e-05,9.999999999999998e-05,-9.999999999999998e-05,9.999999999999998e-05,-9.999999999999998e-05
0.0011522076792249195,866.8990932196283,-1.937884525349265e-06,9.999999999999998e-05,-9.999999999999998e-05,9.999999999999998e-05,-9.999999999999998e-05,9.999999999999998e-05,-9.999999999999998e-05
0.001156196141659133,863.9051523083335,-1.938193716577441e-06,9.999999999999998e-05,-9.999999999999998e-05,9.999999999999998e-05,-9.999999999999998e-05,9.999999999999998e-05,-9.999999999999998e-05
0.0011601984104868265,860.9215394204805,-1.938504027687582e-06,9.999999999999998e-05,-9.999999999999998e-05,9.999999999999998e-05,-9.999999999999998e-05,9.999999999999998e-05,-9.999999999999998e-05
0.0011642145334999742,857.94821892809,-1.9388154629540466e-06,9.999999999999998e-05,-9.999999999999998e-05,9.999999999999998e-05,-9.999999999999998e-05,9.999999999999998e-05,-9.999999999999998e-05
0.0011682445586559903,854.9851553260837,-1.939128026540171e-06,9.999999999999998e-05,-9.999999999999998e-05,9.999999999999998e-05,-9.999999999999998e-05,9.999999999999998e-05,-9.999999999999998e-05
0.0011722885340782927,852.0323132318666,-1.9394417227203142e-06,9.999999999999998e-05,-9.999999999999998e-05,9.999999999999998e-05,-9.999999999999998e-05,9.999999999999998e-05,-9.999999999999998e-05
0.0011763465080568873,849.0896573848976,-1.9397565558243457e-06,9.999999999999998e-05,-9.999999999999998e-05,9.999999999999998e-05,-9.999999999999998e-05,9.999999999999998e-05,-9.999999999999998e-05
0.0011804185290489354,846.1571526462747,-1.940072530126624e-06,9.999999999999998e-05,-9.999999999999998e-05,9.999999999999998e-05,-9.999999999999998e-05,9.999999999999998e-05,-9.999999999999998e-05
0.0011845046456793414,843.2347639983095,-1.9403896499570195e-06,9.999999999999998e-05,-9.999999999999998e-05,9.999999999999998e-05,-9.999999999999998e-05,9.999999999999998e-05,-9.999999999999998e-05
0.001188604906741325,840.3224565441147,-1.94070791958989e-06,9.999999999999998e-05,-9.999999999999998e-05,9.999999999999998e-05,-9.999999999999998e-05,9.999999999999998e-05,-9.999999999999998e-05
0.0011927193611970086,837.4201955071844,-1.9410273434106173e-06,9.999999999999998e-05,-9.999999999999998e-05,9.999999999999998e-05,-9.999999999999998e-05,9.999999999999998e-05,-9.999999999999998e-05
0.001196848058178003,834.5279462309772,-1.941347925804582e-06,9.999999999999998e-05,-9.999999999999998e-05,9.999999999999998e-05,-9.999999999999998e-05,9.999999999999998e-05,-9.999999999999998e-05
0.0012009910469859889,831.6456741785073,-1.9416696711571646e-06,9.999999999999998e-05,-9.999999999999998e-05,9.999999999999998e-05,-9.999999999999998e-05,9.999999999999998e-05,-9.999999999999998e-05
0.0012051483770933126,828.773344931926,-1.9419925838537466e-06,9.999999999999998e-05,-9.999999999999998e-05,9.999999999999998e-05,-9.999999999999998e-05,9.999999999999998e-05,-9.999999999999998e-05
0.0012093200981435693,825.9109241921166,-1.94231666833522e-06,9.999999999999998e-05,-9.999999999999998e-05,9.999999999999998e-05,-9.999999999999998e-05,9.999999999999998e-05,-9.999999999999998e-05
0.0012135062599522033,823.0583777782797,-1.9426419289869656e-06,9.999999999999998e-05,-9.999999999999998e-05,9.999999999999998e-05,-9.999999999999998e-05,9.999999999999998e-05,-9.999999999999998e-05
0.001217706912507095,820.21567162753,-1.942968370360898e-06,9.999999999999998e-05,-9.999999999999998e-05,9.999999999999998e-05,-9.999999999999998e-05,9.999999999999998e-05,-9.999999999999998e-05
0.001221922105969167,817.3827717944838,-1.943295996842398e-06,9.999999999999998e-05,-9.999999999999998e-05,9.999999999999998e-05,-9.999999999999998e-05,9.999999999999998e-05,-9.999999999999998e-05
0.0012261518906729737,814.5596444508599,-1.943624812927869e-06,9.999999999999998e-05,-9.999999999999998e-05,9.999999999999998e-05,-9.999999999999998e-05,9.999999999999998e-05,-9.999999999999998e-05
0.0012303963171273076,811.7462558850713,-1.943954823224736e-06,9.999999999999998e-05,-9.999999999999998e-05,9.999999999999998e-05,-9.999999999999998e-05,9.999999999999998e-05,-9.999999999999998e-05
0.0012346554360158047,808.9425725018224,-1.944286032173892e-06,9.999999999999998e-05,-9.999999999999998e-05,9.999999999999998e-05,-9.999999999999998e-05,9.999999999999998e-05,-9.999999999999998e-05
0.0012389292981975417,806.1485608217124,-1.944618444382762e-06,9.999999999999998e-05,-9.999999999999998e-05,9.999999999999998e-05,-9.999999999999998e-05,9.999999999999998e-05,-9.999999999999998e-05
0.0012432179547076532,803.3641874808294,-1.944952064347749e-06,9.999999999999998e-05,-9.999999999999998e-05,9.999999999999998e-05,-9.999999999999998e-05,9.999999999999998e-05,-9.999999999999998e-05
0.001247521456757932,800.5894192303573,-1.9452868967317904e-06,9.999999999999998e-05,-9.999999999999998e-05,9.999999999999998e-05,-9.999999999999998e-05,9.999999999999998e-05,-9.999999999999998e-05
0.001251839855737448,797.8242229361748,-1.9456229460868e-06,9.999999999999998e-05,-9.999999999999998e-05,9.999999999999998e-05,-9.999999999999998e-05,9.999999999999998e-05,-9.999999999999998e-05
0.0012561732032131553,795.0685655784633,-1.945960217075715e-06,9.999999999999998e-05,-9.999999999999998e-05,9.999999999999998e-05,-9.999999999999998e-05,9.999999999999998e-05,-9.999999999999998e-05
0.0012605215509305155,792.3224142513083,-1.9462987143059607e-06,9.999999999999998e-05,-9.999999999999998e-05,9.999999999999998e-05,-9.999999999999998e-05,9.999999999999998e-05,-9.999999999999998e-05
0.0012648849508141078,789.585736162311,-1.946638442495985e-06,9.999999999999998e-05,-9.999999999999998e-05,9.999999999999998e-05,-9.999999999999998e-05,9.999999999999998e-05,-9.999999999999998e-05
