z_star,omega_m0,c_eff2,S8,chi2_fsigma8,chi2_S8,chi2_total,dmu_gate_mag
3.0,0.31,4.641589e-06,0.7482,13.227,0.346,13.574,0.0227
3.0,0.31,1.000000e-05,0.6845,26.785,14.264,41.049,0.0227
3.0,0.31,2.154435e-05,0.6249,46.307,45.616,91.924,0.0227
3.0,0.31,4.641589e-05,0.5716,68.650,88.759,157.409,0.0227
3.0,0.31,1.000000e-04,0.5257,91.345,137.246,228.592,0.0227
3.0,0.31,2.154435e-04,0.4883,112.183,184.493,296.675,0.0227
3.0,0.31,4.641589e-04,0.4603,129.233,224.553,353.785,0.0227
3.0,0.31,1.000000e-03,0.4414,141.404,253.757,395.161,0.0227
3.0,0.31,2.154435e-03,0.4301,148.950,272.080,421.030,0.0227
3.0,0.31,4.641589e-03,0.4240,153.108,282.243,435.351,0.0227
3.0,0.31,1.000000e-02,0.4209,155.225,287.431,442.656,0.0227
3.0,0.33,1.000000e-07,1.0052,69.932,150.362,220.293,0.0556
3.0,0.33,2.154435e-07,0.9886,58.123,130.666,188.790,0.0556
3.0,0.33,4.641589e-07,0.9595,40.958,99.465,140.423,0.0556
3.0,0.33,1.000000e-06,0.9152,22.748,60.205,82.953,0.0556
3.0,0.33,2.154435e-06,0.8584,11.217,24.183,35.399,0.0556
3.0,0.33,4.641589e-06,0.7955,10.667,3.144,13.812,0.0556
3.0,0.33,1.000000e-05,0.7326,19.736,1.884,21.619,0.0556
3.0,0.33,2.154435e-05,0.6733,35.078,18.791,53.868,0.0556
3.0,0.33,4.641589e-05,0.6198,53.785,49.161,102.946,0.0556
3.0,0.33,1.000000e-04,0.5733,73.515,87.126,160.641,0.0556
3.0,0.33,2.154435e-04,0.5351,92.127,126.403,218.530,0.0556
3.0,0.33,4.641589e-04,0.5062,107.687,161.042,268.730,0.0556
3.0,0.33,1.000000e-03,0.4865,118.988,186.997,305.985,0.0556
3.0,0.33,2.154435e-03,0.4746,126.085,203.585,329.670,0.0556
3.0,0.33,4.641589e-03,0.4682,130.030,212.891,342.921,0.0556
3.0,0.33,1.000000e-02,0.4649,132.047,217.672,349.719,0.0556
4.0,0.29,1.000000e-07,0.9030,42.915,51.123,94.038,0.0422
4.0,0.29,2.154435e-07,0.8888,34.389,41.456,75.845,0.0422
4.0,0.29,4.641589e-07,0.8646,22.855,27.340,50.196,0.0422
4.0,0.29,1.000000e-06,0.8295,12.222,12.090,24.313,0.0422
4.0,0.29,2.154435e-06,0.7872,7.555,1.855,9.410,0.0422
4.0,0.29,4.641589e-06,0.7432,10.070,0.710,10.780,0.0422
4.0,0.29,1.000000e-05,0.7009,17.553,8.732,26.284,0.0422
4.0,0.29,2.154435e-05,0.6619,27.682,24.039,51.721,0.0422
4.0,0.29,4.641589e-05,0.6269,38.995,44.283,83.278,0.0422
4.0,0.29,1.000000e-04,0.5965,50.420,66.854,117.275,0.0422
4.0,0.29,2.154435e-04,0.5715,60.902,88.840,149.742,0.0422
4.0,0.29,4.641589e-04,0.5527,69.440,107.413,176.853,0.0422
4.0,0.29,1.000000e-03,0.5402,75.471,120.818,196.289,0.0422
