c_eff2,S8
1e-08,0.9549591672966331
2.1544346900318822e-08,0.9535439535477676
4.641588833612782e-08,0.9505878386510744
1e-07,0.9446168487034986
2.1544346900318822e-07,0.9333166415418364
4.6415888336127725e-07,0.914248807902921
1e-06,0.8871228653193609
2.1544346900318822e-06,0.8554344851605885
4.641588833612773e-06,0.8239093206336257
1e-05,0.7950234394445732
2.1544346900318823e-05,0.7691171379004509
4.641588833612772e-05,0.7460074048897202
0.0001,0.725808022946325
0.00021544346900318823,0.7090182205148395
0.00046415888336127724,0.6962253758037368
0.001,0.6875654491632138
0.002154434690031882,0.6823962021750714
0.004641588833612773,0.6796156335407291
0.01,0.6782199567671723
0.021544346900318822,0.6775464214854593
0.046415888336127725,0.6772278785963899
0.1,0.6770787169941169
0.21544346900318823,0.6770091939059262
0.46415888336127725,0.676976862978573
1.0,0.6769618376423656

# crossing estimate
S8_obs,c_eff2_at_crossing
0.76,2.916341353442478e-05
